Curve_Number,Flex_Stress,Flex_Strain,Sequence,Comment
,0.00034997165354330706,0.0,34,
,0.0006590110236220474,4.9458661417322706e-05,34,
,0.000999659842519685,9.87696850393701e-05,34,
,0.0011754078740157479,0.00014778543307086597,34,
,0.0020472566929133863,0.00019705954724409422,34,
,0.002541933858267716,0.0002463705708661416,34,
,0.002144025196850394,0.00029575541338582647,34,
,0.0027759370078740153,0.00034495570866141723,34,
,0.004976793700787401,0.000394045275590551,34,
,0.005792352755905512,0.0004431717519685039,34,
,0.004528529133858267,0.0004924458661417322,34,
,0.006041171653543307,0.0005415723425196847,34,
,0.007095685039370078,0.000590588090551181,34,
,0.008771250393700787,0.0006397883858267713,34,
,0.007530129133858267,0.0006891732283464566,34,
,0.008235111811023621,0.0007384473425196849,34,
,0.009711231496062993,0.000787389271653543,34,
,0.00919187401574803,0.0008365895669291336,34,
,0.011633650393700788,0.0008859744094488186,34,
,0.011946645669291338,0.0009354330708661417,34,
,0.011060963779527559,0.0009846333661417321,34,
,0.012601272440944881,0.001033649114173228,34,
,0.01405171653543307,0.0010828494094488187,34,
,0.013552100787401575,0.0011321604330708662,34,
,0.014144529133858268,0.0011816190944881888,34,
,0.01422746456692913,0.0012306348425196846,34,
,0.016039294488188974,0.0012798351377952756,34,
,0.01688348976377953,0.001328961614173228,34,
,0.01692990236220472,0.001378235728346456,34,
,0.01748776062992126,0.001427436023622047,34,
,0.019015231496062993,0.0014766363188976374,34,
,0.01818386141732283,0.0015260211614173225,34,
,0.019233436220472442,0.001575221456692913,34,
,0.021460951181102365,0.0016242372047244092,34,
,0.0221303811023622,0.0016733636811023618,34,
,0.02191513700787402,0.0017224532480314954,34,
,0.02276526614173228,0.0017715797244094483,34,
,0.02188748346456693,0.0018208538385826765,34,
,0.02471630866141732,0.0018702386811023618,34,
,0.024929574803149602,0.001919623523622047,34,
,0.02526626771653543,0.0019691190944881886,34,
,0.025164573228346455,0.0020181348425196846,34,
,0.026647609448818898,0.002067039862204724,34,
,0.027607332283464566,0.002116240157480315,34,
,0.028737864566929134,0.0021657357283464563,34,
,0.027931187401574808,0.002214936023622047,34,
,0.029575155905511814,0.002264025590551181,34,
,0.029877291338582673,0.002313225885826771,34,
,0.030496377952755897,0.0023624261811023618,34,
,0.02983187401574803,0.0024117372047244095,34,
,0.032338809448818895,0.0024610113188976374,34,
,0.033097108661417324,0.00251013779527559,34,
,0.03338542362204725,0.002559411909448818,34,
,0.03328175118110237,0.0026087229330708657,34,
,0.035290066141732274,0.0026578124999999996,34,
,0.03632580787401575,0.0027067544291338582,34,
,0.03601873385826772,0.0027560285433070866,34,
,0.036478853543307085,0.002805339566929133,34,
,0.037365505511811024,0.0028545398622047235,34,
,0.03818207244094489,0.0029035556102362196,34,
,0.03884952440944882,0.002952829724409449,34,
,0.03863033700787402,0.00300232529527559,34,
,0.03920794960629922,0.003051341043307086,34,
,0.04103952125984252,0.003100615157480314,34,
,0.04238333228346456,0.003149741633858267,34,
,0.04129524409448819,0.003198941929133858,34,
,0.04189261102362204,0.003248216043307086,34,
,0.04369258582677165,0.0032974163385826767,34,
,0.044610834645669284,0.0033467273622047235,34,
,0.04384661417322835,0.0033959276574803145,34,
,0.04399965984251968,0.0034453124999999996,34,
,0.04603265511811024,0.0034943282480314956,34,
,0.047273776377952756,0.0035435285433070866,34,
,0.045426406299212595,0.0035929133858267712,34,
,0.047534437795275594,0.003642372047244094,34,
,0.04840924724409449,0.003691313976377952,34,
,0.0485079937007874,0.003740329724409449,34,
,0.04928307401574803,0.003789530019685039,34,
,0.05008778582677165,0.0038388041338582673,34,
,0.04908658897637795,0.003888115157480315,34,
,0.050171716535433064,0.00393713090551181,34,
,0.05220371653543308,0.003986220472440944,34,
,0.0532592251968504,0.00403523622047244,34,
,0.05228764724409449,0.0040849901574803145,34,
,0.05330660787401575,0.004134190452755904,34,
,0.05543933228346456,0.004183316929133858,34,
,0.05527542677165355,0.0042325172244094475,34,
,0.05569407244094488,0.004281791338582676,34,
,0.055621014173228345,0.004330991633858267,34,
,0.05739334803149606,0.004380376476377951,34,
,0.056860170078740155,0.0044297613188976365,34,
,0.0587667779527559,0.004479072342519684,34,
,0.05969490393700787,0.004528088090551181,34,
,0.06098045984251969,0.004576993110236221,34,
,0.061015017322834646,0.0046260088582677165,34,
,0.06016390551181103,0.004675024606299212,34,
,0.062371666141732285,0.00472429872047244,34,
,0.06286238740157479,0.004773609744094488,34,
,0.06458534803149606,0.004822994586614172,34,
,0.06442045984251969,0.004872379429133857,34,
,0.06351603149606298,0.004921579724409448,34,
,0.06534364724409449,0.0049705954724409435,34,
,0.0668987590551181,0.005019500492125984,34,
,0.06634188346456692,0.00506918061023622,34,
,0.06684544251968504,0.005118565452755905,34,
,0.06739047559055118,0.005167765748031495,34,
,0.06941457637795274,0.0052168922244094475,34,
,0.06927930708661417,0.005266166338582677,34,
,0.0693395401574803,0.0053154773622047236,34,
,0.070463168503937,0.005364751476377953,34,
,0.07196199055118109,0.0054138779527559055,34,
,0.07239841259842518,0.005462893700787401,34,
,0.07130243779527559,0.0055121678149606295,34,
,0.07279337322834645,0.005561294291338581,34,
,0.0749172031496063,0.005610273129921258,34,
,0.07448868031496061,0.005659215059055117,34,
,0.07424776062992125,0.00570867372047244,34,
,0.07557577322834645,0.005757874015748031,34,
,0.07643478425196851,0.0058070743110236215,34,
,0.07742907716535433,0.0058565698818897624,34,
,0.07921620157480314,0.00590588090551181,34,
,0.07895257952755906,0.005955265748031496,34,
,0.07958548661417324,0.006004170767716534,34,
,0.08012459842519684,0.00605355561023622,34,
,0.08012262047244093,0.0061026820866141715,34,
,0.0810803653543307,0.006152066929133857,34,
,0.0819107401574803,0.006201082677165353,34,
