Flex_Stress,Flex_Strain,YoungModulus,Sequence
0.0004940724409448819,0.0,9.919242273915419,6
0.0007053732283464567,4.9089566929133776e-05,,
0.0011022992125984254,9.821604330708669e-05,,
0.0012247307086614174,0.0001474901574803149,,
0.0023582362204724408,0.0001966904527559057,,
0.002369096062992126,0.0002458907480314961,,
0.0035539401574803146,0.0002948326771653545,,
0.0036151559055118106,0.0003440329724409449,,
0.00529664251968504,0.00039349163385826757,,
0.004383332283464568,0.0004426919291338584,,
0.007542916535433071,0.000491818405511811,,
0.006740182677165353,0.000540907972440945,,
0.008097814173228347,0.0005902189960629921,,
0.008168907086614172,0.0006396776574803152,,
0.009345851968503937,0.0006888779527559056,,
0.009718097637795273,0.0007378937007874015,,
0.010801247244094488,0.0007872047244094489,,
0.011266292913385826,0.000836478838582677,,
0.011672100787401574,0.0008856791338582678,,
0.011963376377952754,0.0009348794291338581,,
0.013481952755905508,0.000984079724409449,,
0.013908497637795277,0.0010332800196850395,,
0.016231785826771653,0.0010824064960629923,,
0.014606563779527558,0.0011316067913385826,,
0.01611724094488189,0.001180880905511811,,
0.016276207874015746,0.0012300812007874017,,
0.016765946456692913,0.0012793922244094486,,
0.015871382677165355,0.001328407972440945,,
0.018278601574803148,0.0013776082677165354,,
0.01906651968503937,0.0014266978346456692,,
0.02006969448818897,0.0014760088582677165,,
0.019973908661417322,0.0015252091535433068,,
0.021396711811023622,0.0015744094488188978,,
0.021867691338582677,0.0016238681102362209,,
0.021796598425196847,0.0016732529527559057,,
0.02334874960629921,0.0017223794291338582,,
0.02371407874015748,0.0017712844488188973,,
0.023584730708661416,0.0018206692913385824,,
0.024262059842519685,0.001870054133858268,,
0.025783596850393702,0.001919069881889764,,
0.025579212598425195,0.0019682701771653547,,
0.026287155905511807,0.0020172859251968503,,
0.02720047874015748,0.002066596948818898,,
0.027792907086614173,0.002115871062992126,,
0.028940220472440943,0.0021650713582677165,,
0.02990587716535433,0.0022141978346456696,,
0.030761927559055116,0.0022635826771653543,,
0.030539766929133856,0.0023128567913385826,,
0.030653316535433073,0.002361983267716535,,
0.03154886299212598,0.002410999015748032,,
0.03200206614173228,0.0024603838582677165,,
0.03333106141732284,0.002509768700787401,,
0.03351372598425197,0.002558784448818897,,
0.03455836220472441,0.002607874015748032,,
0.034721285039370074,0.0026570743110236224,,
0.036676283464566924,0.0027064591535433074,,
0.03516362834645669,0.0027557701771653543,,
0.03776435905511811,0.002804859744094488,,
0.035551659842519685,0.0028539862204724404,,
0.038796157480314966,0.0029031865157480314,,
0.03932144881889764,0.002952571358267716,,
0.038470324409448815,0.0030015871062992125,,
0.04123397795275591,0.003050861220472441,,
0.03975589291338582,0.0031002460629921255,,
0.042149278740157475,0.0031496309055118106,,
0.042327987401574806,0.0031985728346456696,,
0.04261234645669291,0.0032477731299212598,,
0.043556283464566935,0.0032970472440944877,,
0.04431260472440945,0.00334654281496063,,
0.04478456692913385,0.0033955585629921255,,
0.0442968062992126,0.0034446481299212598,,
0.04725200629921259,0.0034938484251968507,,
0.04629622677165354,0.0035430487204724404,,
