Flex_Stress,Flex_Strain,Flex_Modulus,Sequence
9.808122016244033e-05,0.0,1.679418450695246,19
0.00019806113212226422,4.912647637795251e-05,,
0.0002804726889453779,9.803149606299221e-05,,
0.00022340678281356565,0.00014734251968503918,,
0.0004535333870667741,0.00019672736220472444,,
0.00010274561349122698,0.0002459276574803148,,
0.00045850926901853803,0.00029494340551181075,,
0.0004379847479694959,0.0003441437007874015,,
0.0004944276768553536,0.00039360236220472417,,
0.0005737283154566309,0.00044298720472440946,,
0.0007212905945811892,0.0004921874999999999,,
0.0011078420236840473,0.0005412032480314958,,
0.0008201832723665446,0.0005905142716535431,,
0.0011974059148118295,0.0006398991141732284,,
0.001060261640523281,0.0006891732283464566,,
0.001130542997085994,0.0007381889763779525,,
0.0013028279496558992,0.0007873154527559055,,
0.0013009629859259718,0.0008364050196850393,,
0.0016131896583793162,0.0008857160433070866,,
0.0014833544547089093,0.0009349901574803147,,
0.0018915196230392458,0.0009843749999999998,,
0.0020075163990327977,0.0010335752952755903,,
0.002101587947175894,0.0010827755905511809,,
0.00223297860995722,0.0011317175196850391,,
0.0022975083390166778,0.001180807086614173,,
0.0023464874449748902,0.001229822834645669,,
0.002577546531093062,0.0012792076771653543,,
0.0024688588257176514,0.0013285187007874013,,
0.002698052948105896,0.001377903543307086,,
0.0027422129084258167,0.0014272883858267717,,
0.002829443610887221,0.0014766732283464565,,
0.0030636136152272305,0.0015255782480314958,,
0.002957880091760183,0.0015745201771653545,,
0.0033204865769731534,0.0016239788385826765,,
0.0032002916485832965,0.001673289862204724,,
0.003552789633579267,0.0017223794291338582,,
0.003528687953375906,0.0017715059055118108,,
0.003583577407154814,0.0018205954724409448,,
0.0037608382416764834,0.0018699803149606294,,
0.003816658193316386,0.0019193651574803147,,
0.003911197966395932,0.0019686761811023618,,
0.004299459606919213,0.002017691929133858,,
0.004073064914129829,0.0020670767716535424,,
0.004249079794159587,0.0021162770669291334,,
0.004429294810589621,0.0021651820866141727,,
0.00441483538967078,0.0022141978346456683,,
0.0047264390848781685,0.002263508858267716,,
0.004757693099386198,0.0023127829724409444,,
0.0051276066712133425,0.0023619094488188976,,
0.004930755781511562,0.0024111097440944877,,
0.005173010602021204,0.0024603838582677165,,
0.0052711255502511005,0.002509879429133858,,
