Sequence_Number,UTS,Young_Modulus,Toughness
5,52.13095157790316,1760.9813156333357,0.9221537384231466
7,50.20964697129395,2029.0520237090957,0.7430761197336972
9,49.456745117490236,1883.1743803024713,0.8160442936898031
11,50.87877909355819,2070.554321975895,0.7715448407554544
27,52.53029524459049,1731.849749794591,1.0138357345142193
29,52.529284146568294,1531.9864931477618,1.1144224352697811
36,54.13300452600906,1581.5294978819802,1.142195894446654
37,52.84095591791184,1616.626276860219,1.1508926830702801
44,50.48940132680266,1468.1259217683046,1.0310643018843157
53,51.20893582987166,1687.3905747497165,0.9175286271232089
54,51.93144919089839,1661.1872136720249,1.0237154270247801
59,52.82231347262695,1637.628597133362,1.03933124421595
8,46.46037720875442,1790.2107599718956,0.8039100640488426
12,47.06501469402939,1685.8373423413716,0.8877992221422654
14,46.50960195920392,1773.8339623719933,0.826044664125293
19,46.94905499410999,1695.107602025221,0.8931675453969203
22,49.139893607787215,1500.1491891037647,1.0070854381194045
25,49.972154380308766,1396.3555931822473,1.0772930877947045
32,50.709898443796895,1543.4623006258369,1.025429380428743
33,50.867511315022625,1427.0099878731678,1.1902946767029847
43,48.417613367226735,1452.7594116259306,0.954863142402417
50,49.08587351974705,1520.3549875611477,0.9352639659566155
57,48.43754243908488,1538.2938575934697,0.9072886389004451
58,48.11717304234609,1524.714910602701,0.8972831849786833
10,43.88561919523839,1941.924047652507,0.6295769394122437
13,46.177589435178874,1662.9557977057943,0.8617503621697113
15,46.46012896025792,1696.885197700106,0.8436877190682992
16,45.82184251968504,1800.3200946882112,0.763490262199159
23,47.68394122388245,1319.7092967839608,0.9719638786645125
45,49.92035947671896,1389.0638909566335,1.0804598461733572
52,48.529074338148675,1538.8633645094476,0.9137974118959591
55,50.10720751441503,1540.6705711795307,0.9909015895217985
34,48.61200248000497,1512.5676538743403,0.9259354228275376
40,48.13686601773203,1480.2608508023554,0.9126416076038907
46,47.73862719325439,1434.6996204757052,0.9431177658357154
60,48.060352780705564,1566.6986248824285,0.8707890934696051
4,49.274371504743016,1577.2538074360837,0.9929206913973608
6,47.58645148490297,1482.2776378645121,0.9891908751103968
17,48.61576551553103,1903.6948501387951,0.8143719845617445
18,49.189384710769424,1896.3001373628222,0.8509561950178312
24,47.101745427490854,1502.7633003401534,0.8297106273334822
30,47.72878826957654,1687.813428475727,0.8069997160717552
35,46.766230392460784,1602.5624550810885,0.8165689356775954
56,47.245541571083145,1678.295969992993,0.7754063839394293
26,49.81729034658069,1530.8012244488245,0.9796254016899135
39,44.48337851075702,1516.4112109159987,0.7041477840927356
49,43.51605245210491,1671.390783767695,0.6243549339773129
51,43.80974170748342,1672.19559622698,0.6283390700800876
1,49.526395312790626,2121.76887643524,0.7343903017894311
2,49.00708078616157,1640.167793364771,0.8904621065688937
3,50.02282918965838,1802.211710204271,0.8669331813745136
20,49.44261950523901,1794.2803099874757,0.8195776207927132
21,49.300615537231074,1788.8765667277767,0.8668287955503927
28,51.70386508773018,1705.7830785270176,1.0011794442155006
41,49.047495814991635,1468.3324656963982,0.9636879465274365
48,51.38751912703826,1527.507912104568,1.0262693150117288
31,49.45089627379255,1557.9444851468086,0.9244275831730636
38,48.585667555335114,1622.6267342926935,0.8831509528091428
42,48.07139959079918,1452.2356322727755,0.9114874320353714
47,48.35910372620745,1620.305867761116,0.8290109790457888
