Category,AVG_UTS,AVG_YoungModulus,AVG_Toughness,STD_UTS,STD_YoungModulus,STD_Toughness
Red_200,50.66903069006138,1006.6890654107042,1.5638552849048564,1.1345890277409263,73.65276799657616,0.15114421377642157
Red_215,53.00838495876992,840.0589622989918,2.1256474746639107,0.7639609540188627,44.19187665144417,0.12106185497709562
Red_230,51.61302495504991,839.0631999520431,1.9286728847347376,0.9982636244603612,51.520841091589915,0.1101483689459802
Blue_200,46.74601221402443,902.8486566723627,1.6398661037083273,0.3057592285955746,27.77411919496953,0.08571933350709188
Blue_215,50.17236443672888,762.7070192020524,2.067357011079729,0.7912547146701813,34.92775117936627,0.15845559539270443
Blue_230,48.51455059210118,784.6960117598225,1.7762975635760387,0.40810369838254956,19.907748525908822,0.050540045641864706
Green_200,45.586295027590054,923.2710679070606,1.4896660013699103,1.1634712037841561,65.1969435585313,0.20328724223835046
Green_215,49.06014563829128,752.4799260458446,1.902462849161359,1.156471895656177,57.5711050688781,0.13283559276047177
Green_230,48.136962117924234,779.249477504528,1.7560018700657447,0.3606489787414985,28.877708075881532,0.05933801812649445
Purple_200,48.666493303986606,891.7384362642878,1.7535768010035255,0.7771732903570565,112.97656378267331,0.17821465069975387
Purple_215,47.21057641515283,841.2865700056952,1.5522527226068568,0.39960549710608895,44.557713211391054,0.04448611032346814
Purple_230,45.40661575423151,830.8038459967349,1.4117630720384853,2.968201121210087,44.59409449126783,0.32257518044469624
Black_200,49.4997311984624,956.5957296989286,1.5920015435218995,0.41645674350373085,105.22528530838001,0.1325431996877165
Black_215,50.35987389174778,843.7650029972491,1.8547911063966627,1.3792185640737562,77.94699746736502,0.13462066480906087
Black_230,48.616766786533574,812.9046535315409,1.7058062245496952,0.5945740196521312,41.52768289803351,0.08142286303428281
