Stress_1 [MPa],Strain_1,Stress_2 [MPa],Strain_2,Stress_3 [MPa],Strain_3,Stress_4 [MPa],Strain_4,Comment
0.023530708661417325,0.0,0.10243779527559055,0.0,0.26250393700787406,0.0,0.015240944881889765,0.0,"Blue_230, Seq: 43, 50, 57, 58"
0.1656755905511811,5.462598425196851e-06,0.30775748031496064,9.448818897637797e-06,0.27533543307086616,6.446850393700788e-06,-0.30285669291338585,6.446850393700788e-06,
2.419511811023622,3.966535433070866e-05,4.470677165354331,5.605314960629922e-05,3.774173228346457,5.108267716535434e-05,3.559981102362205,5.059055118110236e-05,
10.376913385826771,0.00010964566929133859,12.127256692913388,0.00011609251968503937,12.231303937007874,0.00011658464566929134,11.758733858267716,0.00011505905511811026,
16.36156220472441,0.00015575787401574803,17.70767874015748,0.00016072834645669293,17.75324094488189,0.000159744094488189,17.423310236220473,0.00015821850393700788,
20.437127559055117,0.0001969488188976378,22.385385826771653,0.00020236220472440945,22.101001574803153,0.00019990157480314963,22.410721259842518,0.0002013779527559055,
25.18836850393701,0.00024256889763779528,27.059140157480314,0.0002455216535433071,27.57284409448819,0.0002440452755905512,27.541266141732287,0.00024601377952755904,
29.86089133858268,0.00028572834645669294,31.905146456692915,0.0002872047244094488,31.97563464566929,0.00028572834645669294,32.008217322834646,0.0002876968503937008,
34.45394960629921,0.0003268700787401575,36.3716094488189,0.0003288877952755906,36.59756535433071,0.0003288877952755906,36.44778267716536,0.0003288877952755906,
38.88980787401575,0.0003685531496062992,40.761319685039375,0.00036953740157480316,41.70318425196851,0.00037101377952755905,40.98654803149607,0.00036953740157480316,
43.00436220472441,0.00040871062992125986,44.86970708661418,0.000410728346456693,45.63364094488189,0.0004122047244094488,45.650188976377954,0.000410236220472441,
47.146803149606306,0.00045039370078740163,48.87814488188977,0.00045339566929133865,49.87948346456693,0.0004523622047244095,50.00930078740158,0.0004523622047244095,
51.64015748031497,0.0004920767716535433,53.75820472440945,0.0004940452755905512,54.26573858267717,0.0004925688976377953,54.59717795275591,0.0004950295275590552,
55.831467716535435,0.0005342027559055118,57.764182677165365,0.0005347440944881891,58.813634645669296,0.0005332185039370079,58.7576283464567,0.0005367125984251969,
60.36702362204725,0.0005758858267716536,62.14772283464567,0.0005763779527559055,62.61699527559056,0.0005749015748031496,63.086138582677165,0.0005768700787401576,
64.39742047244096,0.0006160925196850394,66.15393385826772,0.0006165846456692915,67.37910866141733,0.0006160925196850394,67.0439905511811,0.0006165846456692915,
68.8076220472441,0.000657234251968504,70.39953070866142,0.000657234251968504,71.10276220472441,0.0006577263779527559,71.56992440944882,0.0006567421259842521,
72.83431811023623,0.0006979330708661418,75.03009448818898,0.0006984251968503936,75.85770708661418,0.0006999015748031497,75.19363464566929,0.0006979330708661418,
76.91383307086615,0.0007375984251968505,78.72314960629922,0.0007400590551181103,80.05566614173229,0.0007400590551181103,79.71216377952756,0.0007395669291338583,
80.96299212598426,0.0007782972440944883,83.10422992125984,0.00078125,83.8768,0.0007792814960629922,83.9212346456693,0.0007807578740157481,
85.41193385826772,0.0008204232283464567,87.41052283464568,0.0008224409448818898,88.17890393700789,0.0008199311023622048,88.18508346456693,0.0008234251968503938,
89.6508598425197,0.0008630905511811024,91.66031811023622,0.0008625984251968504,92.65474015748033,0.0008616141732283466,92.62662677165355,0.0008640748031496064,
93.88066456692913,0.0009037893700787402,95.54067401574804,0.000902755905511811,96.94525354330709,0.0009037893700787402,96.78485984251968,0.000902755905511811,
98.0171748031496,0.0009439468503937009,99.85833070866143,0.0009429625984251969,101.29375433070867,0.0009454232283464568,100.83154960629922,0.0009429625984251969,
102.03449763779527,0.0009836122047244095,104.07900472440946,0.0009851377952755907,105.36512440944882,0.0009866141732283464,104.88958740157481,0.0009846456692913386,
105.93558740157481,0.0010243110236220472,108.30435590551181,0.001027263779527559,109.62972283464568,0.001026771653543307,109.45870866141733,0.001026771653543307,
109.94131023622049,0.001066486220472441,112.61239055118111,0.0010689468503937009,113.44714015748032,0.001065452755905512,113.54069291338583,0.0010684547244094488,
114.38062362204725,0.0011086122047244094,117.07711811023623,0.0011086122047244094,117.76727559055118,0.0011056594488188978,117.90103307086615,0.0011096456692913387,
118.34193070866142,0.0011498031496062992,121.13664881889764,0.0011483267716535432,122.42992125984252,0.0011493110236220473,122.16834330708663,0.0011498031496062992,
122.4900409448819,0.001191486220472441,124.84919055118111,0.001188484251968504,126.8680031496063,0.001190994094488189,126.49192125984253,0.0011889763779527561,
126.43802519685039,0.0012306594488188977,129.61227716535433,0.0012306594488188977,130.87692598425198,0.0012316437007874016,130.75577007874017,0.0012291830708661417,
130.37167874015748,0.0012703248031496065,133.7088220472441,0.0012723425196850395,135.22617637795278,0.0012723425196850395,134.88142992125984,0.0012718011811023622,
134.21650078740157,0.0013115157480314962,137.67234015748033,0.001312992125984252,138.9444,0.001312992125984252,139.13739527559056,0.001314468503937008,
138.20148976377953,0.0013531988188976378,141.83501417322836,0.0013531988188976378,142.7776188976378,0.0013531988188976378,143.12903622047244,0.0013556594488188976,
142.26496062992126,0.0013943405511811025,145.99768818897638,0.0013953248031496064,146.99754960629923,0.0013938484251968504,146.94944251968505,0.0013958169291338584,
146.1159622047244,0.0014355314960629922,150.10114645669293,0.001436515748031496,151.28140157480314,0.001436515748031496,151.30138582677165,0.001437007874015748,
150.15500157480315,0.0014766732283464567,153.99335118110238,0.0014771653543307086,155.60545826771653,0.001478198818897638,155.2199968503937,0.0014771653543307086,
