Stress_1 [MPa],Strain_1,Stress_2 [MPa],Strain_2,Stress_3 [MPa],Strain_3,Stress_4 [MPa],Strain_4,Comment
-0.09152440944881891,0.0,0.17230866141732284,0.0,0.2993259842519685,0.0,0.0997732283464567,0.0,"Red_200, Seq: 5, 7, 9, 11"
0.6458519685039371,1.2893700787401575e-05,0.46992440944881897,6.938976377952756e-06,0.31215748031496066,4.4783464566929135e-06,0.14912755905511813,6.938976377952756e-06,
6.6764,7.244094488188978e-05,4.4430740157480315,5.45767716535433e-05,2.459140157480315,3.818897637795276e-05,3.658085039370079,4.960629921259843e-05,
13.790311811023622,0.00012696850393700788,13.182519685039372,0.00011904527559055119,10.8452,0.00010910433070866141,12.28500157480315,0.00011555118110236221,
18.130173228346457,0.0001641732283464567,18.899905511811024,0.00016220472440944884,17.78365039370079,0.00016023622047244094,18.17784566929134,0.00016171259842519687,
22.79948661417323,0.0002053641732283465,23.491237795275595,0.0002013779527559055,22.55957165354331,0.00020088582677165357,22.910337007874016,0.00019990157480314963,
27.543823622047245,0.0002470472440944882,28.533433070866142,0.00024256889763779528,27.731820472440948,0.00024355314960629922,27.993744881889764,0.00024355314960629922,
31.92835275590551,0.0002872047244094488,33.5344188976378,0.00028572834645669294,32.54377322834646,0.00028523622047244094,32.41282204724409,0.00028523622047244094,
36.57274015748032,0.00032736220472440945,38.40510236220473,0.0003283956692913386,36.66424881889764,0.00032736220472440945,37.46341102362205,0.0003288877952755906,
41.41307401574804,0.00036953740157480316,43.20965039370079,0.00037002952755905516,41.04581732283465,0.0003690452755905512,42.62456062992126,0.0003720472440944882,
46.52634015748031,0.0004117125984251969,44.67675905511812,0.0004112204724409449,42.12276535433071,0.0004117125984251969,44.40137007874016,0.0004131889763779528,
51.0108188976378,0.00045285433070866145,49.660466141732286,0.00045285433070866145,47.111656692913385,0.00045339566929133865,48.973946456692914,0.0004523622047244095,
55.5656283464567,0.0004940452755905512,54.23254803149607,0.0004930610236220473,51.86314960629922,0.0004925688976377953,53.391051968503945,0.0004930610236220473,
60.335130708661424,0.0005342027559055118,58.673839370078746,0.0005332185039370079,56.34589606299213,0.0005332185039370079,57.88416692913386,0.0005337106299212599,
64.7551968503937,0.0005749015748031496,63.18274330708662,0.0005739173228346457,60.674655118110245,0.0005734251968503938,62.40342992125984,0.0005758858267716536,
69.44104881889764,0.0006165846456692915,67.9552125984252,0.0006165846456692915,65.44687244094489,0.0006150590551181102,67.47549606299214,0.0006180610236220473,
74.00374803149607,0.0006592027559055119,72.90634960629922,0.0006582185039370079,70.12778582677166,0.0006567421259842521,72.01820787401576,0.0006587106299212599,
78.88455748031497,0.0007003937007874016,77.61021417322836,0.0006984251968503936,74.66309606299212,0.0006989173228346457,76.60114960629922,0.0006994094488188976,
83.45293543307088,0.0007400590551181103,82.24299842519684,0.0007400590551181103,79.4251968503937,0.0007410925196850394,81.2092661417323,0.0007385826771653543,
87.68149921259842,0.000780265748031496,86.97451023622048,0.000780265748031496,84.18680944881889,0.000782234251968504,85.50692913385828,0.0007787893700787402,
92.40881259842521,0.0008214074803149607,91.75264251968504,0.0008204232283464567,88.52445984251969,0.0008214074803149607,90.29172913385827,0.0008209153543307087,
96.65390866141733,0.0008616141732283466,96.02686929133858,0.0008611220472440946,92.6348062992126,0.0008611220472440946,95.47829606299214,0.0008630905511811024,
101.3664094488189,0.0009022637795275591,101.00638740157481,0.0009037893700787402,96.9596220472441,0.0009022637795275591,100.02249133858268,0.0009052657480314962,
105.97920629921259,0.0009449311023622047,106.14235590551182,0.0009454232283464568,101.62621732283465,0.0009439468503937009,104.30486299212599,0.0009454232283464568,
110.78029921259842,0.0009871062992125985,110.44792125984252,0.0009866141732283464,105.91376692913386,0.0009846456692913386,108.73059527559056,0.0009851377952755907,
115.12262677165356,0.0010277559055118111,115.32452283464566,0.0010262795275590552,110.50510236220474,0.0010257874015748032,113.50627401574805,0.0010252952755905513,
119.48273070866142,0.001067962598425197,119.83121574803151,0.001066978346456693,114.95823622047244,0.001067470472440945,118.36092283464568,0.001066978346456693,
123.75201889763781,0.0011086122047244094,124.20338897637795,0.0011071358267716537,119.2847748031496,0.0011066437007874017,122.76914015748032,0.0011081200787401576,
128.35666456692914,0.0011493110236220473,128.94626456692913,0.0011483267716535432,123.6243748031496,0.0011468011811023623,127.81874645669292,0.0011498031496062992,
132.98107086614175,0.0011904527559055118,133.68417007874018,0.001190994094488189,128.0056976377953,0.001187992125984252,132.3399811023622,0.001191486220472441,
137.10376062992125,0.0012311515748031497,138.38851653543307,0.0012321358267716536,132.82949291338582,0.0012311515748031497,136.9944850393701,0.0012321358267716536,
141.81675275590553,0.0012733267716535436,143.10670866141734,0.0012743110236220474,137.45093228346457,0.0012728346456692913,141.43873700787404,0.0012723425196850395,
146.4944566929134,0.0013154527559055117,147.66990866141734,0.001313976377952756,141.7436724409449,0.001313976377952756,146.06141732283464,0.001312007874015748,
150.75510551181105,0.0013556594488188976,151.9789228346457,0.0013536909448818898,146.3584409448819,0.0013541830708661419,150.65767874015748,0.0013536909448818898,
154.95456377952758,0.0013953248031496064,156.45895118110235,0.0013948326771653545,150.39378582677168,0.0013938484251968504,155.18657637795278,0.0013953248031496064,
159.39460787401575,0.0014355314960629922,161.30743937007875,0.0014355314960629922,154.8817165354331,0.001434547244094488,159.86872125984252,0.001437007874015748,
163.75297952755906,0.0014766732283464567,165.81312440944885,0.001478198818897638,159.597168503937,0.0014766732283464567,164.49977952755904,0.0014796751968503938,
