Stress_1,Strain_1,Stress_2,Strain_2,Stress_3,Strain_3,Stress_4,Strain_4,Comment
664.0289732283466,0.00840974409448819,692.5915811023623,0.008406742125984253,593.9580000000001,0.008406742125984253,658.7556125984253,0.008407234251968505,
666.3634960629921,0.00844990157480315,695.3174992125985,0.008449409448818898,595.9857133858268,0.008446407480314961,661.3260503937009,0.008449409448818898,
668.8055937007874,0.008489566929133859,698.1853637795276,0.008490551181102363,598.6301984251969,0.008489074803149607,664.2587338582678,0.008492076771653544,
671.1378866141733,0.008529281496062992,700.8113165354331,0.008532726377952755,601.3879874015748,0.008532234251968505,666.4605385826771,0.008532726377952755,
673.6296598425198,0.008570423228346457,703.27271496063,0.008572933070866142,603.140377952756,0.008572933070866142,669.1032535433071,0.008571899606299213,
676.2643023622048,0.00861259842519685,705.7293448818898,0.00861259842519685,605.651874015748,0.008613582677165355,671.8067937007875,0.008612106299212599,
678.9455433070866,0.008655265748031497,708.3941322834646,0.008653248031496063,607.6806267716536,0.00865378937007874,673.9601543307087,0.00865378937007874,
681.2371590551181,0.008696899606299213,710.8727559055119,0.008693454724409449,610.1792409448819,0.008693946850393701,676.8701543307086,0.008695915354330709,
683.8006740157481,0.008736614173228347,713.5732188976378,0.00873513779527559,612.6594425196851,0.008734645669291339,679.1990645669292,0.008736122047244095,
686.1796409448818,0.008776771653543307,716.2747590551181,0.00877726377952756,614.995694488189,0.008776279527559055,681.9695811023622,0.008777755905511811,
688.604283464567,0.008815994094488189,718.7541511811024,0.008819438976377953,617.4289102362205,0.008818946850393701,684.2784976377953,0.008819438976377953,
691.2257795275591,0.008857135826771655,721.649083464567,0.00886013779527559,619.7676251968504,0.008860629921259843,686.7509700787402,0.008859104330708661,
693.7764503937008,0.008899803149606299,724.0335118110237,0.008898818897637797,622.3173763779528,0.008901279527559055,688.9455433070866,0.008898818897637797,
696.6949133858268,0.008941978346456693,726.4544629921261,0.008938976377952757,624.4537385826771,0.008940994094488189,691.7731905511811,0.008940452755905512,
699.0543496062992,0.008982627952755905,729.0618834645669,0.008980659448818899,626.6579653543307,0.00898115157480315,694.3177133858268,0.008981643700787401,
701.6781480314961,0.009023326771653543,731.8250960629922,0.009022834645669291,629.0048283464567,0.009022342519685039,697.1872692913386,0.009023326771653543,
704.0269732283465,0.009062992125984251,734.2772661417323,0.00906446850393701,631.1814488188977,0.009062007874015747,699.7478614173228,0.009064960629921261,
706.343735433071,0.009103690944881889,736.8063338582677,0.009105659448818899,633.6583811023622,0.009103149606299214,702.3474393700789,0.009106643700787403,
708.9067874015749,0.009144832677165355,739.1536976377953,0.00914581692913386,636.2618803149606,0.00914581692913386,704.839442519685,0.009146309055118112,
711.9275968503938,0.009187992125984253,741.5059811023622,0.009184005905511812,638.4964409448819,0.009187992125984253,707.0710047244095,0.009185531496062993,
714.3645417322834,0.009229183070866143,744.2345889763781,0.00922470472440945,640.7226551181102,0.009228149606299212,710.1261826771654,0.009226673228346458,
717.0314803149607,0.009270816929133858,746.9965700787402,0.009269832677165354,643.1492598425198,0.009267372047244095,713.0480283464567,0.009269832677165354,
719.360620472441,0.009312500000000001,749.8273700787402,0.009312500000000001,645.5346488188976,0.009308021653543308,715.713735433071,0.009311515748031495,
721.7575811023622,0.009351181102362206,752.221640944882,0.00935216535433071,648.3062393700789,0.009350688976377954,718.2361133858268,0.009353149606299214,
724.2924913385826,0.009391387795275591,754.7145669291339,0.009391387795275591,650.2804346456693,0.009391879921259843,720.7697165354332,0.009393848425196851,
726.7074456692914,0.00943351377952756,757.4467118110236,0.009433021653543308,652.9555244094488,0.00943351377952756,723.281020472441,0.009433021653543308,
729.3559307086615,0.009474212598425198,759.7049543307088,0.009473720472440945,655.5015842519686,0.009475688976377954,725.8218519685039,0.009472736220472441,
731.8498551181103,0.009515354330708662,762.2813102362205,0.009514370078740158,657.8496409448819,0.00951486220472441,728.5080125984252,0.00951486220472441,
734.2675779527559,0.009557529527559056,765.1141102362204,0.009557037401574804,659.6778110236221,0.009554084645669291,731.1618771653543,0.009557529527559056,
736.6223244094489,0.009599212598425198,767.7006173228347,0.009598720472440946,662.0414771653544,0.009595226377952758,733.8720314960631,0.009598228346456694,
739.0748031496064,0.00963740157480315,770.3537921259843,0.009640354330708662,664.6442078740157,0.009638877952755906,736.155725984252,0.009638385826771654,
741.2223181102363,0.009677066929133858,772.8654803149608,0.009680561023622048,666.9276724409449,0.009680561023622048,738.8900251968504,0.009679084645669292,
743.949694488189,0.009719734251968504,775.3481007874016,0.009719242125984252,669.4149858267717,0.009720718503937008,741.3790299212599,0.00971875,
