Stress_1,Strain_1,Stress_2,Strain_2,Stress_3,Strain_3,Stress_4,Strain_4,Comment
0.3123496062992126,-4.921259842519685e-07,0.255748031496063,0.0,0.04214803149606299,4.921259842519685e-07,0.10251968503937009,0.0,"Blue_215, Seq: 22, 25, 32, 33"
0.220548031496063,6.938976377952756e-06,0.4519370078740158,1.0433070866141732e-05,0.5821007874015749,1.6387795275590554e-05,-0.11958110236220473,4.970472440944882e-06,Stress units of [MPa]
2.4482267716535433,4.6604330708661414e-05,5.165918110236221,6.25e-05,7.122251968503938,8.085629921259844e-05,3.3679055118110237,4.6604330708661414e-05,Strain unit-less
9.12632440944882,0.00010216535433070868,12.381007874015749,0.00012101377952755907,14.191741732283464,0.00013494094488188978,11.407732283464567,0.0001140748031496063,
14.980919685039371,0.00015428149606299215,17.342507086614173,0.00016368110236220472,18.526667716535435,0.00017160433070866142,16.86772598425197,0.0001592027559055118,
20.223502362204727,0.00019744094488188978,21.714453543307087,0.0002048720472440945,22.51413228346457,0.0002127952755905512,20.856667716535433,0.00020039370078740157,
24.915026771653544,0.00024207677165354331,25.86232125984252,0.0002455216535433071,27.738941732283465,0.0002564468503937008,25.387540157480316,0.0002440452755905512,
30.14724409448819,0.00028572834645669294,30.063741732283468,0.00028572834645669294,32.35791496062992,0.0002991141732283465,29.247908661417323,0.000284744094488189,
34.651458267716535,0.00032637795275590556,34.045281889763785,0.00032785433070866145,36.691114960629925,0.00034128937007874016,33.6344157480315,0.0003268700787401575,
38.97849133858268,0.00036707677165354334,38.66943307086615,0.00037101377952755905,41.00728818897638,0.00038095472440944885,38.05398740157481,0.0003690452755905512,
43.878050393700796,0.00040920275590551185,42.669725984251976,0.0004126968503937008,45.578878740157485,0.00042263779527559057,42.68702362204724,0.0004112204724409449,
47.63896692913386,0.00045039370078740163,47.01748661417323,0.00045285433070866145,50.12455433070867,0.00046525590551181107,46.76678110236221,0.0004523622047244095,
52.13035905511811,0.0004920767716535433,51.21940157480315,0.0004940452755905512,54.34497322834646,0.000503986220472441,51.032365354330715,0.0004930610236220473,
56.18123779527559,0.000531742125984252,55.05138897637796,0.0005337106299212599,58.91532913385827,0.0005441437007874016,55.27968503937009,0.000535236220472441,
60.811804724409456,0.0005744094488188976,59.160516535433075,0.0005749015748031496,63.315650393700786,0.0005873031496062992,59.5395937007874,0.0005749015748031496,
65.0016283464567,0.0006175688976377952,62.965360629921264,0.0006165846456692915,67.52842834645669,0.000629970472440945,64.16941732283465,0.0006150590551181102,
69.59739842519686,0.0006582185039370079,67.12113070866143,0.0006587106299212599,71.71108976377953,0.0006706200787401575,68.5764062992126,0.000657234251968504,
73.63125669291338,0.0006979330708661418,71.36054488188977,0.0006989173228346457,75.85303622047245,0.0007113188976377953,72.80324409448819,0.0007003937007874016,
77.9284346456693,0.0007371062992125985,74.79645984251968,0.0007385826771653543,79.85283779527559,0.000751476377952756,76.91977322834646,0.0007410925196850394,
82.0560566929134,0.0007782972440944883,78.8816440944882,0.0007797736220472442,83.82820157480316,0.0007906988188976379,80.98349291338583,0.000781742125984252,
86.5464566929134,0.0008199311023622048,82.89699842519686,0.0008209153543307087,87.95114960629921,0.0008318405511811025,85.17182992125986,0.0008214074803149607,
91.06400000000001,0.0008625984251968504,86.91579212598427,0.0008606299212598426,92.25572598425197,0.0008740157480314961,88.83551496062992,0.0008611220472440946,
95.08971653543308,0.0009042814960629922,90.83736377952756,0.000901771653543307,96.8487874015748,0.0009156988188976379,92.89528818897638,0.000901771653543307,
99.65587716535434,0.0009449311023622047,94.79941102362206,0.0009444389763779528,100.95519685039372,0.0009568405511811024,96.97677165354331,0.0009439468503937009,
103.6416062992126,0.0009841043307086616,98.89891653543307,0.0009871062992125985,105.47914960629922,0.0009970472440944881,101.8459716535433,0.0009861220472440946,
107.87388031496064,0.0010248031496062993,102.6736472440945,0.001027263779527559,109.37776692913386,0.001036712598425197,105.82011023622049,0.0010277559055118111,
111.96942677165354,0.001066978346456693,106.36695748031497,0.001066486220472441,113.44742047244095,0.0010763779527559055,110.01437795275592,0.001067470472440945,
116.31373543307087,0.0011091043307086615,109.95907401574804,0.0011066437007874017,117.87267086614173,0.0011185531496062991,113.90065511811025,0.0011071358267716537,
120.41274330708661,0.0011502952755905512,114.08177322834646,0.0011478346456692914,122.36751181102362,0.001161220472440945,117.72031181102363,0.0011468011811023623,
124.89252913385826,0.001191486220472441,117.58900472440946,0.001189468503937008,126.56743937007876,0.0012028543307086616,121.76305196850394,0.0011889763779527561,
128.9211968503937,0.0012316437007874016,121.57152440944883,0.0012316437007874016,130.5645322834646,0.0012440452755905513,126.19915275590552,0.0012311515748031497,
132.89434330708661,0.0012718011811023622,125.37736062992127,0.0012743110236220474,134.60382047244096,0.00128371062992126,130.23474015748033,0.0012728346456692913,
137.26012598425197,0.001312007874015748,128.90605669291338,0.00131496062992126,138.68851338582678,0.0013239173228346457,134.0381039370079,0.0013134842519685042,
141.16861732283465,0.0013536909448818898,132.67659842519686,0.0013531988188976378,142.57405039370082,0.0013635826771653543,138.07517165354332,0.0013541830708661419,
145.79302362204726,0.0013958169291338584,135.88967244094488,0.0013933562992125984,146.935631496063,0.0014057578740157481,141.90716220472441,0.0013943405511811025,
149.46633070866145,0.0014360236220472443,139.92104881889765,0.0014360236220472443,150.71555275590552,0.001448425196850394,145.78776692913388,0.0014350393700787404,
153.75387401574804,0.0014776574803149608,143.55166929133858,0.0014791830708661417,154.75459212598426,0.0014900590551181103,149.67305196850396,0.0014756889763779528,
