Stress,Strain
0.0,8.164284349337313e-07
0.09841450766504772,0.0001060503410930089
0.19682901533009545,0.0001848288548508611
0.29524352299514317,0.000246913961784482
0.3936580306601909,0.00030899906871810295
0.4920725383252386,0.0003706331727105874
0.5904870459902863,0.00043142933158547554
0.688901553655334,0.0004930079684454328
0.7873160613203818,0.0005621698735779297
0.8857305689854296,0.0006322039492159641
0.9841450766504772,0.0007031031094007804
1.082559584315525,0.0007750082260961711
1.1809740919805727,0.0008498692771609812
1.2793885996456205,0.0009233948844053618
1.377803107310668,0.0009949482316442945
1.4762176149757158,0.0010670934667992057
1.5746321226407636,0.0011397540128032018
1.6730466303058114,0.001211981911106806
1.7714611379708591,0.0012883223714864455
1.8698756456359067,0.0013624151388712978
1.9682901533009545,0.0014303025472063966
2.066704660966002,0.0014996654797065146
2.16511916863105,0.0015724250762299556
2.2635336762960976,0.0016488927996838683
2.3619481839611454,0.0017222097702404282
2.460362691626193,0.001793716776330995
2.558777199291241,0.001868131757038263
2.6571917069562887,0.0019431131669113652
2.755606214621336,0.0020167524252213418
2.854020722286384,0.002090774671717973
2.9524352299514316,0.0021626753470338368
3.0508497376164794,0.0022350618244380924
3.149264245281527,0.002308450864888586
3.247678752946575,0.002379475847827464
3.3460932606116227,0.0024509930806885837
3.4445077682766705,0.0025267930793871013
3.5429222759417183,0.002602213854740684
3.6413367836067656,0.0026759996598173345
3.7397512912718134,0.0027503179484493125
3.838165798936861,0.0028223320311651827
3.936580306601909,0.002896848944057592
4.034994814266956,0.0029721886647833436
4.133409321932004,0.003044316536415981
4.231823829597052,0.0031170485734887867
4.3302383372621,0.00319224882248372
4.428652844927147,0.003266205634410827
4.527067352592195,0.003339649000902282
4.625481860257243,0.003414800020641498
4.723896367922291,0.0034896372789288872
4.8223108755873385,0.0035640112597481173
4.920725383252386,0.0036383401101193306
5.019139890917434,0.0037157923027240276
5.117554398582482,0.0037925775867052544
5.21596890624753,0.0038691299997744323
5.314383413912577,0.003944868947797412
5.412797921577625,0.004020958383149905
5.511212429242672,0.004102106441383927
5.60962693690772,0.004178548070470191
5.708041444572768,0.0042528765544183915
5.806455952237815,0.004330109501409083
5.904870459902863,0.0044089715121166
6.003284967567911,0.004490873624390465
6.101699475232959,0.0045677474726298775
6.2001139828980065,0.0046439885634975185
6.298528490563054,0.004721111661824537
6.396942998228102,0.004797945746872341
6.49535750589315,0.004875100664632832
6.593772013558198,0.004952777729099776
6.692186521223245,0.005031797626388993
6.790601028888293,0.005111304836887135
6.889015536553341,0.005188172870232383
6.987430044218389,0.005263986328852169
7.0858445518834365,0.005344035690190486
7.184259059548483,0.005426011173925476
7.282673567213531,0.005506668898244095
7.381088074878579,0.00558523371514034
7.479502582543627,0.005662639353395026
7.5779170902086745,0.005744196157506651
7.676331597873722,0.0058278907230749685
7.77474610553877,0.0059090846501786394
7.873160613203818,0.005989574190618875
7.971575120868866,0.006070540114635073
8.069989628533913,0.006152761269053081
8.16840413619896,0.006234556943337077
8.266818643864008,0.006318920788412088
8.365233151529056,0.006400434184197454
8.463647659194104,0.006482743507068679
8.562062166859151,0.006567237503505168
8.6604766745242,0.0066521396352478565
8.758891182189247,0.006737638487564618
8.857305689854295,0.006822499758685183
8.955720197519343,0.006909706631425864
9.05413470518439,0.006994036941411223
9.152549212849438,0.007077482469437893
9.250963720514486,0.007161547874402985
9.349378228179534,0.00724506986563391
9.447792735844581,0.007330685906399414
9.54620724350963,0.007414217556415744
9.644621751174677,0.007500260212221518
9.743036258839725,0.007590739786070111
9.841450766504773,0.007679813353864658
9.93986527416982,0.007767515140454159
10.038279781834868,0.007858301159608455
10.136694289499916,0.007942885885343722
10.235108797164964,0.008028714216442124
10.333523304830011,0.008117418710661461
10.43193781249506,0.008205815066175431
10.530352320160107,0.00829814217264999
10.628766827825155,0.008386574289561022
10.727181335490203,0.008476300474823482
10.82559584315525,0.00857158416335739
10.924010350820298,0.008666051597199003
11.022424858485344,0.008764490285221187
11.120839366150392,0.008859124117969287
11.21925387381544,0.00895865720449606
11.317668381480487,0.009057732829072856
11.416082889145535,0.009153305171390087
11.514497396810583,0.009243896672505967
11.61291190447563,0.009336921487638443
11.711326412140679,0.009442940341017246
11.809740919805726,0.009535349898572385
11.908155427470774,0.009635229630616683
12.006569935135822,0.009737176676609184
12.10498444280087,0.00983085314160073
12.203398950465917,0.009923901655396786
12.301813458130965,0.010025434746285193
12.400227965796013,0.01012602793897433
12.49864247346106,0.010227482667715664
12.597056981126109,0.010326861167710578
12.695471488791156,0.010426985353582274
12.793885996456204,0.010525050146756091
12.892300504121252,0.010624396073493565
12.9907150117863,0.010725283768216428
13.089129519451348,0.01082616818865477
13.187544027116395,0.010925913493686913
13.285958534781443,0.01102707173336891
13.38437304244649,0.011135073883185133
13.482787550111539,0.011243442702234777
13.581202057776586,0.011351676326156829
13.679616565441634,0.011453841160116846
13.778031073106682,0.011563516964823179
13.87644558077173,0.011671803835846829
13.974860088436778,0.011775628731574915
14.073274596101825,0.011885462027097393
14.171689103766873,0.011991821134372575
14.270103611431919,0.012097644135679781
14.368518119096967,0.012205955493861775
14.466932626762015,0.012308362053950302
14.565347134427062,0.012416563608666279
14.66376164209211,0.01252237419879153
14.762176149757158,0.012628267410471714
14.860590657422206,0.012732966734347574
14.959005165087254,0.012841307226799614
15.057419672752301,0.01294802045274196
15.155834180417349,0.013055384136600127
15.254248688082397,0.01316654785309606
15.352663195747445,0.013273514845153087
15.451077703412492,0.0133795206619117
15.54949221107754,0.013485611333624595
