General : Start date,11/19/2024 11:13,
General : End date,11/19/2024 11:14,
Specimen Notes:,"Black, 230, Print 6, Object 3, Seq 27",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,-0.35664
0.1,0.00774,1.23354
0.2,0.0226,0.85813
0.3,0.03757,0.01563
0.4,0.05198,-0.07764
0.5,0.06599,-0.42796
0.6,0.07968,0.42473
0.7,0.09328,0.62066
0.8,0.10679,-0.59881
0.9,0.12027,0.67239
1,0.13368,-0.16071
1.1,0.14701,0.5995
1.2,0.16031,-0.38407
1.3,0.17359,-0.0408
1.4,0.18685,0.23899
1.5,0.20015,-0.43423
1.6,0.21353,0.39652
1.7,0.22684,0.19197
1.8,0.24024,0.39652
1.9,0.25357,0.26407
2,0.26685,-0.2814
2.1,0.28018,-0.50947
2.2,0.29361,-0.52514
2.3,0.30702,0.56972
2.4,0.32032,0.54621
2.5,0.33365,0.7539
2.6,0.34696,-0.24457
2.7,0.36036,0.99764
2.8,0.37372,0.51878
2.9,0.38702,-0.14034
3,0.40033,1.33542
3.1,0.41366,0.89889
3.2,0.42694,1.50627
3.3,0.44017,0.27739
3.4,0.45347,0.40749
3.5,0.46685,0.9224
3.6,0.48021,-0.2673
3.7,0.49351,0.5321
3.8,0.50684,0.09792
3.9,0.52025,0.09087
4,0.53363,1.01017
4.1,0.54693,0.28523
4.2,0.56029,0.59558
4.3,0.57362,0.65593
4.4,0.58702,0.34714
4.5,0.6003,-0.66308
4.6,0.61363,0.71549
4.7,0.62696,-0.0941
4.8,0.64029,0.93729
4.9,0.65357,0.58461
5,0.66688,-0.56747
5.1,0.68021,0.41219
5.2,0.69359,0.58383
5.3,0.70694,0.52348
5.4,0.72022,0.35028
5.5,0.73355,0.42552
5.6,0.74688,1.61756
5.7,0.76029,1.88481
5.8,0.77362,3.10978
5.9,0.78692,3.64819
6,0.80025,3.67092
6.1,0.81366,5.23837
6.2,0.82699,5.56205
6.3,0.84032,6.45001
6.4,0.85362,6.4602
6.5,0.8669,7.69065
6.6,0.88028,8.38738
6.7,0.89361,9.12643
6.8,0.90697,8.4971
6.9,0.92035,9.72912
7,0.93365,10.82555
7.1,0.94691,9.10841
7.2,0.96019,12.23391
7.3,0.97354,11.58028
7.4,0.9869,12.19002
7.5,1.00023,13.44084
7.6,1.01358,12.94631
7.7,1.02696,14.09447
7.8,1.04034,14.46282
7.9,1.0536,15.3594
8,1.06688,15.78497
8.1,1.08026,15.12037
8.2,1.09364,17.47703
8.3,1.10694,17.21527
8.4,1.12025,17.45666
8.5,1.13355,18.78193
8.6,1.14693,20.01238
8.7,1.16031,20.08213
8.8,1.17367,20.39092
8.9,1.18695,20.42776
9,1.20033,21.23813
9.1,1.21363,22.48974
9.2,1.22696,21.90273
9.3,1.24022,23.85342
9.4,1.2536,23.28209
9.5,1.26695,24.72806
9.6,1.28018,26.37232
9.7,1.29351,24.87148
9.8,1.30687,26.98754
9.9,1.32025,26.36605
10,1.33358,27.07218
10.1,1.34693,27.98679
10.2,1.36024,28.10827
10.3,1.37359,27.45464
10.4,1.38697,27.96014
10.5,1.40025,30.31132
10.6,1.41361,30.15222
10.7,1.42694,31.17812
10.8,1.44029,30.28075
10.9,1.45357,32.00338
11,1.4669,32.35214
11.1,1.48031,32.52691
11.2,1.49369,33.57476
11.3,1.50694,32.9031
11.4,1.52025,34.31616
11.5,1.53355,35.67279
11.6,1.54691,35.68924
11.7,1.56029,36.00352
11.8,1.57357,37.42755
11.9,1.5869,38.04669
12,1.60023,38.41739
12.1,1.61366,38.24262
12.2,1.62694,39.02713
12.3,1.64027,40.29912
12.4,1.65362,40.73252
12.5,1.66695,41.74353
12.6,1.68031,41.9661
12.7,1.69369,41.63224
12.8,1.70704,43.32038
12.9,1.7204,43.62447
13,1.73368,43.8878
13.1,1.74691,45.07592
13.2,1.76024,45.54381
13.3,1.77351,46.89104
13.4,1.78684,45.98896
13.5,1.8002,48.16929
13.6,1.81356,48.30801
13.7,1.82696,46.93022
13.8,1.84024,49.7775
13.9,1.85354,49.4068
14,1.86685,49.94365
14.1,1.88031,51.22269
14.2,1.89364,50.14428
14.3,1.90697,51.20858
14.4,1.9203,53.42417
14.5,1.93365,52.75565
14.6,1.94706,52.6812
14.7,1.96039,54.12953
14.8,1.97367,53.72747
14.9,1.98697,55.63428
15,2.0003,55.24398
15.1,2.01358,55.76673
15.2,2.02686,57.11865
15.3,2.04016,56.70485
15.4,2.05352,58.57482
15.5,2.06685,58.59597
15.6,2.08013,59.2833
15.7,2.09353,59.1438
15.8,2.10694,59.8131
15.9,2.12035,61.24496
16,2.13365,61.35312
16.1,2.14696,62.15566
16.2,2.16029,63.1839
16.3,2.17369,64.18237
16.4,2.18695,63.46526
16.5,2.2003,64.54994
16.6,2.2136,65.80077
16.7,2.22693,65.13225
16.8,2.24024,65.99356
16.9,2.25352,66.10564
17,2.26687,68.3032
17.1,2.28028,67.00848
17.2,2.29364,69.07987
17.3,2.30691,69.50465
17.4,2.32024,69.22722
17.5,2.33357,70.27819
17.6,2.34695,70.1042
17.7,2.36026,71.64814
17.8,2.37359,72.79552
17.9,2.38694,72.36604
18,2.40035,73.8269
18.1,2.41368,73.87079
18.2,2.42699,74.22425
18.3,2.44029,75.03227
18.4,2.45357,76.58326
18.5,2.46692,75.33244
