General : Start date,11/21/2024 9:54,
General : End date,11/21/2024 9:55,
Specimen Notes:,"Black, 215, Print 4, Object 2, Seq 35",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
22.2,2.96028,103.68874
22.3,2.97366,104.75304
22.4,2.98699,104.14252
22.5,3.00035,105.30791
22.6,3.01363,105.90903
22.7,3.02698,105.93333
22.8,3.04026,107.01016
22.9,3.05357,106.257
23,3.06692,107.90832
23.1,3.0803,108.64502
23.2,3.09358,109.21165
23.3,3.10684,109.17326
23.4,3.12017,110.53536
23.5,3.13355,111.83556
23.6,3.14693,111.12551
23.7,3.16021,111.69136
23.8,3.17354,112.45158
23.9,3.18684,113.3552
24,3.20035,113.18279
24.1,3.21368,113.51038
24.2,3.22698,114.35368
24.3,3.24031,115.55513
24.4,3.25364,115.80827
24.5,3.267,116.18916
24.6,3.28035,117.22916
24.7,3.29374,118.10224
24.8,3.30707,117.31303
24.9,3.32034,118.21509
25,3.33357,119.0576
25.1,3.34683,120.14697
25.2,3.36013,120.34291
25.3,3.37351,120.80922
25.4,3.38687,121.50831
25.5,3.40025,121.24576
25.6,3.41363,122.52402
25.7,3.42693,123.77562
25.8,3.44024,123.8007
25.9,3.45349,123.82814
26,3.46692,123.83518
26.1,3.4803,125.57584
26.2,3.49363,125.87287
26.3,3.50699,126.17538
26.4,3.52032,127.06021
26.5,3.53367,127.75459
26.6,3.54703,128.44977
26.7,3.56033,128.52422
26.8,3.57361,129.41296
26.9,3.58697,130.6967
27,3.60025,130.96631
27.1,3.6135,130.55249
27.2,3.62681,131.55096
27.3,3.64016,131.65755
27.4,3.65349,132.37231
27.5,3.66682,133.1333
27.6,3.68018,134.3951
27.7,3.69356,134.23366
27.8,3.70701,134.02989
27.9,3.72027,136.19925
28,3.73365,136.10049
28.1,3.74695,135.64594
28.2,3.76033,137.44458
28.3,3.77366,138.34273
28.4,3.78699,137.57938
28.5,3.8003,138.32236
28.6,3.8136,139.2542
28.7,3.82693,140.54028
28.8,3.84021,140.34123
28.9,3.85354,140.66412
29,3.86692,141.78798
29.1,3.88028,143.74417
29.2,3.89353,143.48239
29.3,3.90686,144.73088
29.4,3.92027,144.11877
29.5,3.93362,143.97693
29.6,3.94695,144.57335
29.7,3.96026,146.15491
29.8,3.97356,145.96759
29.9,3.98697,146.39943
30,4.00035,147.48959
30.1,4.01368,148.68791
30.2,4.02696,148.84152
30.3,4.04024,148.16124
30.4,4.05359,150.20755
30.5,4.06697,151.05554
30.6,4.08035,150.66211
30.7,4.09368,151.20445
30.8,4.10701,152.19664
30.9,4.12032,152.90671
31,4.13352,153.10733
31.1,4.14685,153.489
31.2,4.16021,155.14894
31.3,4.17356,155.83313
31.4,4.18692,155.52121
31.5,4.20032,156.3073
31.6,4.21368,157.20778
31.7,4.22693,156.95699
31.8,4.24019,157.76894
31.9,4.25352,158.91943
32,4.26692,158.84578
32.1,4.28025,159.02211
32.2,4.29358,159.8215
32.3,4.30694,160.97046
32.4,4.32029,161.12485
32.5,4.33365,160.97594
32.6,4.34703,162.5379
32.7,4.36031,162.89215
32.8,4.37366,162.71973
32.9,4.38702,163.79344
33,4.40025,164.26367
33.1,4.4135,165.53094
33.2,4.42683,165.16965
33.3,4.44019,166.48396
33.4,4.45349,166.02863
33.5,4.46682,166.74651
33.6,4.48018,168.14624
33.7,4.49358,168.38921
33.8,4.50694,167.86646
33.9,4.52029,168.20816
34,4.53362,169.17058
34.1,4.54695,170.80621
34.2,4.56033,170.64555
34.3,4.57366,170.99352
34.4,4.58702,171.54134
34.5,4.60032,171.66125
34.6,4.61365,172.5641
34.7,4.62693,172.5641
34.8,4.64021,173.5798
34.9,4.65357,174.98346
35,4.66697,174.05788
35.1,4.68023,174.73111
35.2,4.69351,176.23978
35.3,4.70684,176.49762
35.4,4.72022,177.3166
35.5,4.7336,177.38324
35.6,4.74688,177.05408
35.7,4.76021,179.12701
35.8,4.77351,179.30963
35.9,4.78699,178.60114
36,4.80035,179.54788
