General : Start date,11/21/2024 10:38,
General : End date,11/21/2024 10:40,
Specimen Notes:,"Blue, 215, Print 17, Object 1, Seq 55",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,-0.1582
0.1,0.00786,-0.02732
0.2,0.02263,0.12786
0.3,0.0376,-0.24676
0.4,0.05203,0.41157
0.5,0.06605,0.05419
0.6,0.07965,-0.71621
0.7,0.09321,-0.12763
0.8,0.10677,-0.23657
0.9,0.1203,0.09965
1,0.1337,0.42333
1.1,0.14701,0.59183
1.2,0.16026,0.79325
1.3,0.17354,0.56204
1.4,0.1868,-0.04221
1.5,0.20025,-0.00067
1.6,0.21356,0.04008
1.7,0.22686,-0.0908
1.8,0.24024,0.30028
1.9,0.25362,0.4296
2,0.2669,1.26348
2.1,0.28021,0.27207
2.2,0.29359,0.77052
2.3,0.30699,0.3379
2.4,0.32032,-0.27497
2.5,0.33363,-0.16995
2.6,0.34696,0.14667
2.7,0.36034,0.4774
2.8,0.37367,0.20388
2.9,0.387,-0.01478
3,0.40033,0.03225
3.1,0.41366,-0.34864
3.2,0.42691,-0.06729
3.3,0.44017,0.05497
3.4,0.4535,0.65766
3.5,0.46683,0.40609
3.6,0.48018,-0.42701
3.7,0.49349,0.55734
3.8,0.50684,1.22038
3.9,0.52022,0.32066
4,0.5336,-0.02418
4.1,0.54693,-0.35413
4.2,0.56031,-0.53282
4.3,0.57367,0.19448
4.4,0.58705,0.36141
4.5,0.60035,0.59888
4.6,0.61363,-0.04848
4.7,0.62699,-0.1629
4.8,0.64032,-0.05788
4.9,0.6536,-0.15663
5,0.66685,0.99153
5.1,0.68018,1.11222
5.2,0.69359,1.33715
5.3,0.70694,1.91946
5.4,0.72017,1.23527
5.5,0.73348,2.60835
5.6,0.74688,2.77215
5.7,0.76026,3.05508
5.8,0.77359,2.67732
5.9,0.78695,4.53945
6,0.8003,4.39525
6.1,0.81366,6.15863
6.2,0.82701,5.48619
6.3,0.84029,5.76834
6.4,0.8536,7.30444
6.5,0.86693,7.6383
6.6,0.88028,7.94631
6.7,0.89361,9.12895
6.8,0.90699,10.06315
6.9,0.92035,9.70656
7,0.93365,9.37426
7.1,0.94696,9.6368
7.2,0.96026,10.58276
7.3,0.97352,12.2231
7.4,0.98685,12.30304
7.5,1.0002,12.84851
7.6,1.01358,12.84303
7.7,1.02699,14.17222
7.8,1.04037,15.07429
7.9,1.05362,15.08056
8,1.06688,14.73259
8.1,1.08023,15.44108
8.2,1.09359,15.99517
8.3,1.10692,16.66917
8.4,1.12025,18.58852
8.5,1.13358,17.89257
8.6,1.14693,17.7515
8.7,1.16029,18.01405
8.8,1.17364,18.32675
8.9,1.18697,19.71786
9,1.2003,20.98672
9.1,1.21366,21.38877
9.2,1.22691,22.16701
9.3,1.24019,21.89897
9.4,1.25357,22.0761
9.5,1.26693,23.05653
9.6,1.28018,24.12397
9.7,1.29348,24.54405
