General : Start date,11/19/2024 11:26,
General : End date,11/19/2024 11:27,
Specimen Notes:,"Blue, 230, Print 20, Object 2, Seq 33",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.22828
0.1,0.00781,0.85056
0.2,0.0226,0.73927
0.3,0.03752,1.20167
0.4,0.05196,0.53472
0.5,0.06599,0.02373
0.6,0.0797,-0.22157
0.7,0.09328,0.09818
0.8,0.10677,0.10916
0.9,0.12025,0.12405
1,0.13368,0.76749
1.1,0.14701,-0.37832
1.2,0.16029,-0.12909
1.3,0.17357,0.70714
1.4,0.18687,0.24239
1.5,0.2002,0.49162
1.6,0.21351,-0.65497
1.7,0.22686,-0.33913
1.8,0.24024,-0.50371
1.9,0.2536,0.66639
2,0.2669,0.17734
2.1,0.28021,0.29803
2.2,0.29361,0.97752
2.3,0.30697,-0.16436
2.4,0.32032,-0.5672
2.5,0.33363,0.425
2.6,0.34693,0.26355
2.7,0.36031,0.76905
2.8,0.37367,0.2565
2.9,0.387,0.25807
3,0.40033,-0.00683
3.1,0.41363,-0.42299
3.2,0.42691,1.3255
3.3,0.44019,0.16559
3.4,0.45352,0.34663
3.5,0.46688,1.49557
3.6,0.48021,0.03235
3.7,0.49351,0.06449
3.8,0.50684,1.32628
3.9,0.52025,0.50651
4,0.53363,1.55121
4.1,0.54696,1.93367
4.2,0.56029,0.39052
4.3,0.57362,1.13506
4.4,0.58702,1.01436
4.5,0.6003,1.30355
4.6,0.61366,1.38271
4.7,0.62696,1.87176
4.8,0.64029,2.8906
4.9,0.65357,2.27224
5,0.66685,2.18055
5.1,0.68018,3.70019
5.2,0.69356,3.50896
5.3,0.70692,4.68768
5.4,0.72017,5.6838
5.5,0.73355,5.90794
5.6,0.74691,6.0592
5.7,0.76034,6.42912
5.8,0.77364,6.51063
5.9,0.78692,8.20661
6,0.80028,8.92215
6.1,0.81368,7.96601
6.2,0.82699,8.51618
6.3,0.84029,10.18317
6.4,0.85362,9.83989
6.5,0.86693,10.46061
6.6,0.88026,10.91046
6.7,0.89361,11.24119
6.8,0.90699,11.41283
6.9,0.92032,11.77491
7,0.93363,13.47246
7.1,0.94693,13.25929
7.2,0.96024,14.31967
7.3,0.97352,15.20058
7.4,0.98685,15.13396
7.5,1.00023,16.20375
7.6,1.01361,17.17713
7.7,1.02701,16.92556
7.8,1.04037,17.51727
7.9,1.05362,18.26181
8,1.06688,18.37623
8.1,1.08026,19.25244
8.2,1.09356,19.93506
8.3,1.10692,19.64744
8.4,1.12022,21.57697
8.5,1.13353,20.65139
8.6,1.14688,21.87635
8.7,1.16031,21.4163
8.8,1.17369,22.60051
8.9,1.18697,22.95241
9,1.20033,23.63033
9.1,1.21366,23.95165
9.2,1.22691,24.76125
9.3,1.24017,25.09825
9.4,1.25355,25.22834
9.5,1.26693,25.66566
9.6,1.28016,26.54187
9.7,1.29346,27.94709
9.8,1.30684,27.78251
9.9,1.32025,27.9612
10,1.3336,28.8374
10.1,1.34693,28.5004
10.2,1.36026,28.3609
10.3,1.37359,30.00907
10.4,1.387,29.50278
10.5,1.40028,31.91039
10.6,1.41366,31.51147
10.7,1.42696,33.31796
10.8,1.44029,32.48016
10.9,1.45357,32.79757
11,1.46693,34.0092
11.1,1.48031,33.23175
11.2,1.49371,33.94102
11.3,1.50694,34.42772
11.4,1.52022,34.96457
11.5,1.53353,35.50534
11.6,1.54688,36.91369
11.7,1.56024,36.97091
11.8,1.57351,38.20684
11.9,1.5869,38.46626
12,1.60025,37.84398
12.1,1.61366,39.31895
12.2,1.62696,40.27979
12.3,1.64029,39.21549
12.4,1.65362,41.01493
12.5,1.667,40.73749
12.6,1.68036,41.60194
12.7,1.69369,40.9248
12.8,1.70704,41.43344
12.9,1.7204,43.22112
13,1.73368,42.93349
13.1,1.74696,44.2956
13.2,1.76026,45.82857
13.3,1.77346,44.87321
13.4,1.78682,46.47123
13.5,1.8002,47.40151
13.6,1.81358,46.80039
13.7,1.82696,47.8498
13.8,1.84027,47.87017
13.9,1.85354,47.92347
14,1.86685,49.47838
14.1,1.88026,49.59124
14.2,1.89361,50.25584
14.3,1.90694,50.60146
14.4,1.92027,51.37343
14.5,1.93365,52.17753
14.6,1.94703,52.2128
14.7,1.96036,52.72458
14.8,1.97369,53.38839
14.9,1.98697,52.9785
15,2.0003,55.09848
15.1,2.01361,55.14158
15.2,2.02683,54.74188
15.3,2.04014,56.08598
15.4,2.05354,56.63144
15.5,2.06682,55.98095
15.6,2.0801,57.86581
15.7,2.09351,58.77571
15.8,2.10691,57.91283
15.9,2.12035,59.59314
16,2.13365,59.89645
16.1,2.14698,59.63547
16.2,2.16031,61.57911
16.3,2.17372,61.60732
16.4,2.187,60.74679
16.5,2.20033,63.55253
16.6,2.21363,63.58936
16.7,2.22693,63.48591
16.8,2.24024,63.82448
16.9,2.25349,64.31274
17,2.26687,65.18659
