General : Start date,11/21/2024 10:06,
General : End date,11/21/2024 10:07,
Specimen Notes:,"Green, 215, Print 10, Object 2, Seq 41",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,-0.13428
0.1,0.00794,-0.00026
0.2,0.02268,-0.3498
0.3,0.03762,0.74976
0.4,0.05203,0.39474
0.5,0.06602,-0.98384
0.6,0.07973,-0.15701
0.7,0.09326,0.98645
0.8,0.10674,0.27326
0.9,0.12022,-0.26987
1,0.13365,0.65101
1.1,0.14701,1.04287
1.2,0.16029,-0.29259
1.3,0.17354,-0.61078
1.4,0.18687,0.03422
1.5,0.20023,0.64866
1.6,0.21353,0.14394
1.7,0.22686,1.3258
1.8,0.24024,0.36338
1.9,0.25362,0.17215
2,0.26693,0.1314
2.1,0.28018,0.95118
2.2,0.29359,0.00836
2.3,0.30697,0.08595
2.4,0.32032,0.14316
2.5,0.33363,0.95275
2.6,0.34696,-0.215
2.7,0.36034,-1.03556
2.8,0.37369,0.54129
2.9,0.387,0.99585
3,0.4003,-0.23852
3.1,0.41363,-1.44624
3.2,0.42696,-0.06375
3.3,0.44022,1.36734
3.4,0.4535,0.65101
3.5,0.46685,-0.18522
3.6,0.48023,-0.76205
3.7,0.49351,-0.09823
3.8,0.50687,0.3336
3.9,0.52025,0.69177
4,0.53363,-0.16563
4.1,0.54693,-0.84434
4.2,0.56029,-0.38821
4.3,0.57359,0.13297
4.4,0.587,-0.47834
4.5,0.6003,-1.21582
4.6,0.61361,0.46057
4.7,0.62691,1.65261
4.8,0.64027,2.43869
4.9,0.65362,1.48176
5,0.6669,2.54136
5.1,0.68021,3.7914
5.2,0.69359,3.92777
5.3,0.70692,4.53594
5.4,0.7202,5.89335
5.5,0.73355,5.15743
5.6,0.74693,6.00778
5.7,0.76031,6.85812
5.8,0.77362,6.89574
5.9,0.7869,7.25155
6,0.80023,8.21867
6.1,0.81363,8.70223
6.2,0.82704,8.80489
6.3,0.84032,8.9585
6.4,0.85362,10.11293
6.5,0.86693,11.40529
6.6,0.88026,10.30729
6.7,0.89359,10.32062
6.8,0.90694,12.16002
6.9,0.9203,12.32147
7,0.93365,10.7548
7.1,0.94693,12.61223
7.2,0.96019,13.91949
7.3,0.97349,14.33956
7.4,0.98685,14.07074
7.5,1.00023,15.83569
7.6,1.01358,15.33411
7.7,1.02696,16.37881
7.8,1.04037,16.47365
7.9,1.05365,17.36396
8,1.06688,17.57713
8.1,1.08023,17.81303
8.2,1.09359,18.9126
8.3,1.10694,19.11089
8.4,1.12025,19.38675
8.5,1.1336,18.60225
8.6,1.14693,19.99414
8.7,1.16031,21.67915
8.8,1.17367,22.00989
8.9,1.18697,22.50442
9,1.2003,22.95819
9.1,1.21363,23.39473
9.2,1.22691,22.76853
9.3,1.24019,23.76308
9.4,1.25352,25.2835
9.5,1.2669,24.98334
9.6,1.28018,26.40894
9.7,1.29351,26.78591
9.8,1.30684,27.07118
9.9,1.32027,27.26006
10,1.3336,27.5085
10.1,1.34696,28.23815
10.2,1.36026,28.85181
10.3,1.37359,29.22956
10.4,1.38697,30.75704
10.5,1.4003,30.85344
10.6,1.41368,31.36365
10.7,1.42694,30.48274
10.8,1.44029,32.7869
10.9,1.45357,31.88874
11,1.4669,32.65758
11.1,1.48031,33.73912
11.2,1.49369,34.83947
11.3,1.50694,34.51657
11.4,1.52022,35.50485
11.5,1.53355,35.91631
11.6,1.54688,35.53385
11.7,1.56024,36.6295
11.8,1.57354,37.72201
11.9,1.58687,37.46574
12,1.6002,36.95475
12.1,1.61363,38.86939
12.2,1.62699,39.63274
12.3,1.64032,40.458
12.4,1.65362,39.97287
12.5,1.667,41.40944
12.6,1.68036,41.90162
12.7,1.69371,42.13909
12.8,1.70707,41.57324
12.9,1.7204,43.75043
13,1.73368,43.72222
13.1,1.74691,43.87347
13.2,1.76018,43.71124
13.3,1.77349,45.30377
13.4,1.78684,45.38685
13.5,1.80023,46.24189
13.6,1.81358,47.00289
13.7,1.82696,46.56165
13.8,1.84027,48.11657
13.9,1.85354,49.23103
14,1.86682,49.37131
14.1,1.88026,48.7796
14.2,1.89361,49.07976
14.3,1.90697,50.90741
14.4,1.9203,51.10491
14.5,1.93368,50.85961
