General : Start date,11/19/2024 11:03,
General : End date,11/19/2024 11:04,
Specimen Notes:,"Purple, 200, Print 21, Object 3, Seq 22",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.08785
0.1,0.00774,0.1866
0.2,0.0226,-0.66296
0.3,0.0376,0.25478
0.4,0.05201,-1.13868
0.5,0.06599,0.3261
0.6,0.07965,-0.93021
0.7,0.09326,-0.67785
0.8,0.10679,0.24773
0.9,0.12027,-0.18332
1,0.13368,-1.09323
1.1,0.14701,0.01496
1.2,0.16029,-0.47644
1.3,0.17362,-0.26561
1.4,0.18685,-0.05401
1.5,0.20015,-0.56735
1.6,0.21351,-0.36201
1.7,0.22684,-0.72017
1.8,0.24022,-1.26565
1.9,0.25357,-1.36283
2,0.26688,-0.62299
2.1,0.28021,-0.29383
2.2,0.29361,-1.2437
2.3,0.30699,0.14663
2.4,0.3203,-1.26251
2.5,0.33363,-0.507
2.6,0.34696,-1.02739
2.7,0.36034,-1.00153
2.8,0.37372,-0.3048
2.9,0.387,-0.21232
3,0.40033,-0.89259
3.1,0.41366,-1.02818
3.2,0.42694,-0.55167
3.3,0.44017,0.03769
3.4,0.45347,-0.27894
3.5,0.46685,-1.95924
3.6,0.48018,0.02515
3.7,0.49349,-0.04068
3.8,0.50684,-0.63945
3.9,0.52025,0.14271
4,0.53363,-0.81735
4.1,0.54693,0.1333
4.2,0.56029,0.10039
4.3,0.57362,0.37704
4.4,0.58702,-0.22094
4.5,0.6003,0.20384
4.6,0.61363,0.26027
4.7,0.62696,-0.47173
4.8,0.64029,0.52673
4.9,0.65357,-0.4106
5,0.66683,-0.18646
5.1,0.68021,0.80731
5.2,0.69361,2.24466
5.3,0.70692,1.38021
5.4,0.7202,3.21491
5.5,0.73353,2.66474
5.6,0.74691,4.09974
5.7,0.76031,5.32235
5.8,0.77362,5.22125
5.9,0.78692,5.94384
6,0.80028,5.62879
6.1,0.81368,6.94466
6.2,0.82701,6.93212
6.3,0.84032,8.1469
