General : Start date,11/19/2024 11:05,
General : End date,11/19/2024 11:06,
Specimen Notes:,"Purple, 200, Print 16, Object 3, Seq 23",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,-0.45433
0.1,0.00786,-0.52408
0.2,0.02265,-0.90889
0.3,0.03757,-0.57346
0.4,0.05201,-0.01937
0.5,0.06599,-0.31875
0.6,0.0797,-0.91986
0.7,0.09331,-0.29524
0.8,0.10677,-0.66359
0.9,0.12022,0.43755
1,0.13368,-0.22313
1.1,0.14703,-0.2827
1.2,0.16029,0.83725
1.3,0.17357,-0.67926
1.4,0.18687,0.54805
1.5,0.20018,0.06371
1.6,0.21351,0.26905
1.7,0.22684,-0.7012
1.8,0.24022,0.60918
1.9,0.2536,-1.10874
2,0.2669,-0.14163
2.1,0.28021,-0.36185
2.2,0.29361,-0.01466
2.3,0.30699,-0.64321
2.4,0.32032,-0.81014
2.5,0.33363,0.26905
2.6,0.34698,-0.57268
2.7,0.36034,0.03628
2.8,0.37369,-0.71375
2.9,0.387,-0.83052
3,0.40033,0.25964
3.1,0.41363,-0.03817
3.2,0.42694,0.96029
3.3,0.44019,-0.52644
3.4,0.45347,0.36388
3.5,0.46683,-0.07814
3.6,0.48018,-0.14241
3.7,0.49349,-0.25135
3.8,0.50684,0.01042
3.9,0.52025,-0.90341
4,0.53363,0.71264
4.1,0.54696,-0.30307
4.2,0.56029,0.15854
4.3,0.57364,0.62251
4.4,0.58705,-0.39555
4.5,0.6003,0.50573
4.6,0.61363,0.17422
4.7,0.62696,1.06139
4.8,0.64029,1.88822
4.9,0.6536,2.03008
5,0.66688,3.64769
5.1,0.68021,2.04575
5.2,0.69359,3.83108
5.3,0.70692,3.51445
5.4,0.7202,4.04112
5.5,0.73353,4.98864
5.6,0.74691,6.29982
5.7,0.76031,6.24339
5.8,0.77362,7.43073
5.9,0.78692,7.79908
6,0.80028,8.02558
6.1,0.81366,9.71842
6.2,0.82701,9.24427
6.3,0.84029,9.84304
6.4,0.85362,9.22703
6.5,0.8669,11.29606
6.6,0.88026,10.92693
6.7,0.89361,12.67621
6.8,0.90697,12.19421
6.9,0.92032,11.67069
7,0.93363,12.95443
7.1,0.94691,13.68173
7.2,0.96021,13.8032
7.3,0.97354,15.12143
7.4,0.9869,14.58928
7.5,1.00023,16.24451
7.6,1.01358,16.54232
7.7,1.02696,15.70374
7.8,1.04034,17.51101
7.9,1.0536,18.87156
8,1.06688,18.30962
8.1,1.08026,20.06204
8.2,1.09364,19.25637
8.3,1.10694,20.3912
8.4,1.12027,20.5307
8.5,1.13358,20.68431
8.6,1.14693,21.67808
8.7,1.16031,21.06834
8.8,1.17367,22.93596
8.9,1.18697,22.30427
9,1.20033,23.63112
9.1,1.21366,23.86232
9.2,1.22694,24.75185
9.3,1.24017,25.33494
9.4,1.25355,25.47836
9.5,1.26693,27.00506
9.6,1.28023,27.58423
9.7,1.29354,27.79976
9.8,1.30687,27.99491
9.9,1.3203,28.52862
10,1.33363,27.12419
10.1,1.34693,28.75826
10.2,1.36026,28.04271
10.3,1.37359,29.90093
10.4,1.38697,29.84215
10.5,1.40025,30.00046
10.6,1.41363,31.16664
10.7,1.42699,30.89234
10.8,1.44027,32.85949
10.9,1.45355,32.67375
11,1.4669,32.77798
11.1,1.48028,34.16753
11.2,1.49364,33.66986
11.3,1.50694,34.99593
11.4,1.52025,35.54453
11.5,1.53355,36.39723
11.6,1.54691,36.28045
11.7,1.56026,38.12769
11.8,1.57357,37.34318
11.9,1.58687,38.31892
12,1.60023,38.20685
12.1,1.61366,38.9412
12.2,1.62694,39.74452
12.3,1.64027,40.17792
12.4,1.65362,41.21479
12.5,1.66695,40.77904
12.6,1.68033,43.08397
12.7,1.69366,41.92955
12.8,1.70707,43.2509
12.9,1.7204,43.015
13,1.73368,43.15999
13.1,1.74696,45.14674
13.2,1.76026,44.79328
13.3,1.77349,46.02765
13.4,1.78684,46.55039
13.5,1.80017,46.89523
13.6,1.81353,46.66716
13.7,1.82694,48.07866
13.8,1.84024,47.78241
13.9,1.85354,50.61558
14,1.86685,49.37572
14.1,1.88028,49.55755
14.2,1.89364,51.25588
14.3,1.90697,50.78173
14.4,1.9203,51.89618
14.5,1.93365,52.48006
14.6,1.94701,52.78023
14.7,1.96036,53.61724
14.8,1.97367,54.51226
14.9,1.98697,55.01933
15,2.0003,55.0256
15.1,2.01358,56.54916
15.2,2.02681,56.51625
15.3,2.04014,57.30467
15.4,2.05352,57.51785
15.5,2.06687,57.85955
15.6,2.0802,58.68638
15.7,2.09356,59.94191
15.8,2.10689,58.67619
15.9,2.12032,60.12687
16,2.13363,60.13706
16.1,2.14696,61.01875
16.2,2.16029,62.00389
16.3,2.17369,61.52582
16.4,2.18697,63.06349
16.5,2.20033,63.62228
16.6,2.2136,63.57448
16.7,2.22693,64.58392
16.8,2.24024,64.40209
16.9,2.25352,65.39664
17,2.26685,66.03067
17.1,2.28025,66.71722
17.2,2.29361,67.02757
17.3,2.30689,68.17886
17.4,2.32019,68.14986
17.5,2.33357,67.39122
17.6,2.34695,69.76905
17.7,2.36026,69.53079
17.8,2.37356,70.91877
17.9,2.38694,70.82394
18,2.40035,71.3843
18.1,2.41371,70.9752
18.2,2.42699,72.50346
18.3,2.44029,72.54656
18.4,2.45357,72.6892
18.5,2.4669,73.84834
18.6,2.48028,74.08894
18.7,2.49363,75.10543
18.8,2.50699,74.34835
18.9,2.52032,76.2097
19,2.5336,76.6674
19.1,2.5469,77.83672
19.2,2.56023,78.37357
19.3,2.57359,77.76147
19.4,2.58692,78.70744
19.5,2.60022,78.61339
19.6,2.61363,79.6918
19.7,2.62701,79.35165
19.8,2.64026,80.66048
19.9,2.65354,81.37289
20,2.66692,82.061
20.1,2.68031,81.43245
20.2,2.69363,82.62371
20.3,2.70694,83.31731
20.4,2.72024,83.11824
20.5,2.73362,84.58381
20.6,2.74698,84.07439
20.7,2.76031,85.63322
20.8,2.77364,85.61362
20.9,2.78699,86.01959
21,2.80035,86.74532
21.1,2.8136,87.10976
21.2,2.82686,87.56824
21.3,2.84021,88.34805
21.4,2.85357,89.6506
21.5,2.8669,89.87317
21.6,2.8802,89.19604
21.7,2.89351,89.97976
21.8,2.90694,91.45081
21.9,2.92027,90.83951
22,2.93362,92.31448
22.1,2.94693,91.79173
22.2,2.96028,92.41322
22.3,2.97366,93.78082
22.4,2.98694,92.15068
22.5,3.00032,94.70798
22.6,3.01365,93.66248
22.7,3.02701,95.64296
22.8,3.04026,95.40784
22.9,3.05359,95.61475
23,3.06692,96.80522
23.1,3.08028,96.81228
23.2,3.09356,98.15324
23.3,3.10684,97.67281
23.4,3.12017,99.18462
23.5,3.13355,99.58588
23.6,3.1469,99.31001
23.7,3.16021,99.85471
23.8,3.17354,100.44876
23.9,3.18692,100.22619
24,3.20037,101.37905
24.1,3.21368,100.99659
24.2,3.22701,101.30694
24.3,3.24034,102.78271
24.4,3.25362,101.88534
24.5,3.26695,104.0202
24.6,3.28033,104.16206
24.7,3.29368,104.62445
24.8,3.30704,105.69581
24.9,3.32032,104.63465
25,3.3336,107.41374
25.1,3.34683,106.02105
25.2,3.36011,107.2852
25.3,3.37354,107.98272
25.4,3.38687,107.66766
25.5,3.40025,109.05877
25.6,3.41365,108.4122
25.7,3.42696,108.07598
25.8,3.44021,109.89735
25.9,3.45354,109.57995
26,3.46697,110.36446
26.1,3.4803,110.92248
26.2,3.49363,110.93345
26.3,3.50694,111.84021
26.4,3.52032,111.87706
26.5,3.5337,112.86533
26.6,3.547,114.02602
26.7,3.56031,113.90063
26.8,3.57359,115.73768
26.9,3.58697,114.29406
27,3.60025,115.7949
27.1,3.61353,115.73533
27.2,3.62683,116.52924
27.3,3.64019,116.66013
27.4,3.65352,117.22833
27.5,3.6668,118.49875
27.6,3.68015,118.22366
27.7,3.69358,118.15862
27.8,3.70701,118.84985
27.9,3.72032,118.68214
28,3.73365,118.98936
28.1,3.74695,120.25351
28.2,3.76036,119.84518
28.3,3.77366,121.0725
28.4,3.78697,121.82488
28.5,3.8003,121.77708
28.6,3.8136,123.4809
28.7,3.82691,122.61331
28.8,3.84021,124.0342
28.9,3.85354,123.77322
29,3.86692,124.59222
29.1,3.88025,124.19173
29.2,3.89353,125.24036
29.3,3.90689,125.54053
29.4,3.92024,124.83831
29.5,3.93362,125.80777
29.6,3.94693,125.58441
29.7,3.96023,125.83206
