General : Start date,11/21/2024 10:27,
General : End date,11/21/2024 10:28,
Specimen Notes:,"Purple, 215, Print 1, Object 2, Seq 51",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.68223
0.1,0.00786,0.34053
0.2,0.02263,-0.99102
0.3,0.03762,0.92832
0.4,0.05201,0.7559
0.5,0.06602,0.37109
0.6,0.07973,-0.14068
0.7,0.09328,-0.63286
0.8,0.10679,0.58583
0.9,0.12027,-0.0529
1,0.13368,-0.45495
1.1,0.14701,0.49492
1.2,0.16029,-1.00513
1.3,0.17359,0.30996
1.4,0.18685,-0.3037
1.5,0.20013,-1.9072
1.6,0.21351,-1.30059
1.7,0.22686,-0.1352
1.8,0.24024,0.09679
1.9,0.25362,-0.81782
2,0.26688,-0.67989
2.1,0.28018,-0.18535
2.2,0.29359,-1.05215
2.3,0.30697,-0.40715
2.4,0.32032,-0.15322
2.5,0.33363,-1.04353
2.6,0.34698,-0.38912
2.7,0.36034,-0.212
2.8,0.37369,-0.82096
2.9,0.387,0.02469
3,0.40033,-0.08347
3.1,0.41366,-0.82252
3.2,0.42694,-0.74964
3.3,0.44019,0.00117
3.4,0.45345,-0.37815
3.5,0.46685,-0.99651
3.6,0.48013,0.17673
3.7,0.49346,0.29272
3.8,0.50682,0.56389
3.9,0.52025,-0.29507
4,0.53365,-1.05842
4.1,0.54693,-0.74102
4.2,0.56031,-1.15874
4.3,0.57362,0.95654
4.4,0.58702,0.80449
4.5,0.60033,0.13754
4.6,0.61368,0.68301
4.7,0.62699,-0.05761
4.8,0.64029,0.36325
4.9,0.65357,1.27316
5,0.66688,1.14071
5.1,0.68018,0.44006
5.2,0.69361,1.20106
5.3,0.70694,2.66192
5.4,0.72017,2.20893
5.5,0.7335,3.04987
5.6,0.74688,3.9966
5.7,0.76029,4.26386
5.8,0.77359,5.25762
5.9,0.78692,5.04993
6,0.80028,6.20436
6.1,0.81368,5.85325
6.2,0.82704,6.23023
6.3,0.84032,7.35644
6.4,0.85362,8.46463
6.5,0.86693,8.13781
6.6,0.88031,7.82354
6.7,0.89364,9.63081
6.8,0.90702,9.98114
6.9,0.92032,10.96628
7,0.93365,11.0666
7.1,0.94693,11.32052
7.2,0.96024,11.22569
7.3,0.97354,12.95772
7.4,0.98685,13.48909
7.5,1.0002,13.32216
7.6,1.01356,14.1866
7.7,1.02699,15.03851
7.8,1.04037,15.98526
7.9,1.05365,16.05814
8,1.06688,15.90375
8.1,1.08023,17.22511
8.2,1.09359,17.65459
8.3,1.10692,18.38032
8.4,1.12025,18.79961
8.5,1.1336,18.56606
8.6,1.14693,18.31762
8.7,1.16029,18.68989
8.8,1.17367,20.21816
8.9,1.18695,22.05207
9,1.2003,21.78012
9.1,1.21366,21.38356
9.2,1.22694,22.00113
9.3,1.24019,22.70492
9.4,1.25355,23.73238
9.5,1.2669,23.52704
9.6,1.28016,24.39306
9.7,1.29346,25.38291
9.8,1.30684,25.95659
9.9,1.3203,26.08042
10,1.3336,25.80691
10.1,1.34693,26.85474
10.2,1.36026,27.69098
10.3,1.37362,28.88538
10.4,1.38697,29.34307
10.5,1.40028,29.42066
10.6,1.41366,29.93792
10.7,1.42694,30.90582
10.8,1.44029,31.84864
10.9,1.45357,32.6551
11,1.4669,32.78598
11.1,1.48031,32.99367
11.2,1.49371,33.03207
11.3,1.50694,34.51723
11.4,1.52022,34.27976
11.5,1.53355,34.64027
11.6,1.54688,36.185
11.7,1.56026,36.68737
11.8,1.57351,37.42093
11.9,1.58687,37.5189
12,1.60023,36.86527
12.1,1.61366,38.08867
12.2,1.62696,39.0644
12.3,1.64029,40.23529
12.4,1.65362,40.71885
12.5,1.66698,40.08795
12.6,1.68033,41.46966
12.7,1.69371,41.39285
12.8,1.70707,43.01125
12.9,1.7204,43.18367
13,1.73368,43.57005
13.1,1.74696,43.54966
13.2,1.76026,43.87805
13.3,1.77351,45.19784
13.4,1.78682,45.42747
13.5,1.80017,45.95414
13.6,1.81358,46.8515
13.7,1.82696,47.09994
13.8,1.84027,48.05138
13.9,1.85354,47.90796
14,1.86682,47.7426
14.1,1.88026,49.70192
14.2,1.89361,49.97465
14.3,1.90697,50.4825
14.4,1.9203,51.47861
14.5,1.93368,51.09459
14.6,1.94703,51.70668
14.7,1.96036,52.28194
14.8,1.97369,53.58292
14.9,1.98697,54.93328
15,2.0003,55.11981
15.1,2.01361,55.19348
