General : Start date,11/21/2024 10:42,
General : End date,11/21/2024 10:43,
Specimen Notes:,"Purple, 230, Print 2, Object 2, Seq 57",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
19.2,2.56021,76.45271
19.3,2.57354,78.04054
19.4,2.58692,78.59777
19.5,2.60025,79.7812
19.6,2.61366,79.42538
19.7,2.62701,80.11507
19.8,2.64029,80.35959
19.9,2.65352,81.62373
20,2.66687,82.09946
20.1,2.68028,82.34946
20.2,2.69356,83.4796
20.3,2.70694,83.02974
20.4,2.72027,84.62305
20.5,2.73365,85.21163
20.6,2.74698,85.63876
20.7,2.76033,85.91385
20.8,2.77364,86.73363
20.9,2.78699,87.18976
21,2.80032,87.82143
21.1,2.81355,87.72739
21.2,2.82686,88.5166
21.3,2.84024,88.80972
21.4,2.85357,89.84502
21.5,2.86685,90.47513
21.6,2.88018,91.00728
21.7,2.89351,92.33334
21.8,2.90691,92.07236
21.9,2.92027,93.33181
22,2.93357,92.52692
22.1,2.94693,94.16177
22.2,2.96026,94.42119
22.3,2.97366,95.52546
22.4,2.98697,95.60305
22.5,3.0003,96.28175
22.6,3.01368,96.73083
22.7,3.02703,97.763
22.8,3.04026,97.94952
22.9,3.05357,98.03181
23,3.06692,98.37822
23.1,3.08038,99.29988
23.2,3.09361,99.07809
23.3,3.10686,100.16982
23.4,3.12019,101.00606
23.5,3.13355,102.21534
23.6,3.14693,102.64482
23.7,3.16018,103.40112
23.8,3.17356,103.62996
23.9,3.18689,104.05161
24,3.20032,104.45758
24.1,3.21363,104.7938
24.2,3.22696,106.14259
24.3,3.24029,106.57286
24.4,3.25362,107.43182
24.5,3.26692,107.67477
24.6,3.2803,108.45537
24.7,3.29374,109.21088
24.8,3.30709,109.69522
24.9,3.32037,110.04163
25,3.33365,110.17407
25.1,3.34688,110.50246
25.2,3.36016,110.92253
25.3,3.37351,112.38261
25.4,3.38684,112.20158
25.5,3.40025,113.10287
25.6,3.41365,113.6499
25.7,3.42693,114.52139
25.8,3.44024,114.1507
25.9,3.45349,114.27453
26,3.46695,114.89524
26.1,3.48028,116.07945
26.2,3.49361,116.36159
26.3,3.50696,117.748
26.4,3.52032,118.28484
26.5,3.53367,118.76371
26.6,3.547,119.43301
26.7,3.56033,120.39542
26.8,3.57361,120.31392
26.9,3.58697,120.6031
27,3.60025,120.82961
27.1,3.6135,120.92052
27.2,3.62683,122.05222
27.3,3.64019,122.91589
27.4,3.65349,124.06169
27.5,3.66685,124.76861
27.6,3.68018,124.61109
