Category,AVG_UTS,AVG_YoungModulus,AVG_Yield_Strength,STD_UTS,STD_YoungModulus,STD_Yield_Strength
Red_200,50.66903069006138,1389.671982567844,29.758221185442373,1.1345890277409263,26.78347015047317,2.3049939841484317
Red_215,53.00838495876992,1273.2142404658648,23.575154380308764,0.7639609540188627,45.37058079132884,2.307437684751313
Red_230,51.61302495504991,1213.698982564671,20.074919647839298,0.9982636244603612,100.40501740613537,1.1700845206858914
Blue_200,46.74601221402443,1337.3362962728654,29.781627131254265,0.3057592285955746,41.68260983563034,1.5155655817285254
Blue_215,50.17236443672888,1129.1308247419756,20.876933101866207,0.7912547146701813,98.59194110151023,1.3167468983490782
Blue_230,48.51455059210118,1180.6597782436852,19.55531213962428,0.40810369838254956,38.82947212984016,0.41235648211290166
Green_200,45.586295027590054,1320.366163450047,29.086233492466988,1.1634712037841561,14.016093026385501,0.7312741305808594
Green_215,49.06014563829128,1073.2436093303982,21.17335721371443,1.156471895656177,211.01862769120922,2.258420113414533
Green_230,48.136962117924234,1170.2877278043263,19.372999441998886,0.3606489787414985,54.303086685194316,0.8768749581365284
Purple_200,48.666493303986606,1336.461227770155,30.224203701407404,0.7771732903570565,31.472227426970846,5.934210126054924
Purple_215,47.21057641515283,1220.4858030782161,22.093599262198527,0.39960549710608895,144.38719478825632,0.785645767622531
Purple_230,45.40661575423151,1226.1600724772643,18.912036611073226,2.968201121210087,60.773501953354646,1.7892258038055395
Black_200,49.4997311984624,1332.5181338333816,29.176861026722055,0.41645674350373085,61.868593229284755,6.0588874937436366
Black_215,50.35987389174778,1231.6933299799575,23.087161820323644,1.3792185640737562,126.28158775744838,4.444785300912124
Black_230,48.616766786533574,1207.8436591173033,19.68759107818216,0.5945740196521312,82.58584726668875,1.3438729934397557
