, ,Black,Blue,Green,Purple,Red,Temperature STD
0,200,1332.5181338333816,1337.3362962728654,1320.366163450047,1336.461227770155,1389.671982567844,23.978742908266618
1,215,1231.6933299799575,1129.1308247419756,1073.2436093303982,1220.485803078216,1273.2142404658648,73.25378482156795
2,230,1207.843659117303,1180.6597782436852,1170.2877278043263,1226.1600724772643,1213.698982564671,20.928609218898355
