General : Start date,11/21/2024 10:46,
General : End date,11/21/2024 10:47,
Specimen Notes:,"Purple, 200, Print 14, Object 3, Seq 59",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.38994
0.1,0.00781,-0.15162
0.2,0.02265,0.76221
0.3,0.03765,0.3868
0.4,0.05198,0.28257
0.5,0.06599,0.19949
0.6,0.07968,0.12974
0.7,0.09328,-1.03409
0.8,0.10679,-0.35303
0.9,0.12027,-0.21275
1,0.13368,0.18852
1.1,0.14698,-0.81151
1.2,0.16029,-0.3836
1.3,0.17354,0.09134
1.4,0.18682,-0.58266
1.5,0.20018,-0.75587
1.6,0.21353,0.64386
1.7,0.22689,-0.12262
1.8,0.24027,0.12034
1.9,0.25365,-0.35303
2,0.26688,-0.40006
2.1,0.28018,-1.30134
2.2,0.29361,-0.72217
2.3,0.30697,0.06783
2.4,0.3203,0.09839
2.5,0.33363,-0.65555
2.6,0.34698,0.70343
2.7,0.36036,-0.3593
2.8,0.37369,-0.72374
2.9,0.387,-1.40088
3,0.4003,-1.36012
3.1,0.41363,-1.1203
3.2,0.42691,-0.36087
3.3,0.44017,-0.26996
3.4,0.45347,0.37505
3.5,0.46685,-0.30287
3.6,0.48016,0.12661
3.7,0.49344,-1.10619
3.8,0.50679,0.75751
3.9,0.52022,0.05607
4,0.53365,-0.06854
4.1,0.54698,-0.71041
4.2,0.56039,0.8202
4.3,0.57369,0.81001
4.4,0.58707,1.91428
4.5,0.60035,3.12436
4.6,0.61368,2.77168
4.7,0.62699,3.90495
4.8,0.64027,4.95592
4.9,0.65355,3.8399
5,0.66683,5.34935
5.1,0.68018,5.56096
5.2,0.69359,6.00533
5.3,0.70694,5.62287
5.4,0.72017,7.1096
5.5,0.7335,7.62451
5.6,0.74688,7.29378
5.7,0.76029,8.07907
5.8,0.77359,8.30948
5.9,0.78692,9.26328
6,0.80028,10.03133
6.1,0.81366,10.5627
6.2,0.82699,12.26416
6.3,0.84029,11.29861
6.4,0.8536,12.11447
6.5,0.86693,12.0455
6.6,0.88031,12.88174
6.7,0.89364,13.1678
6.8,0.90699,15.68669
6.9,0.92032,15.53152
7,0.93363,16.05896
7.1,0.94693,14.85986
7.2,0.96021,16.00253
7.3,0.97349,15.74391
7.4,0.98687,16.51196
7.5,1.00023,16.59503
7.6,1.01361,18.50497
7.7,1.02704,18.16954
7.8,1.04039,18.7926
7.9,1.05365,18.9611
8,1.06688,20.57166
8.1,1.08026,21.32873
8.2,1.09364,21.25585
8.3,1.10692,21.92985
8.4,1.12025,22.93459
8.5,1.1336,22.07562
8.6,1.14696,23.59919
8.7,1.16029,24.21519
8.8,1.17362,24.23165
