General : Start date,11/19/2024 10:20,
General : End date,11/19/2024 10:21,
Specimen Notes:,"Blue, 230, Print 6, Object 2, Seq 4",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
22.2,2.96028,90.62998
22.3,2.97364,90.40662
22.4,2.98692,91.47248
22.5,3.00027,91.11981
22.6,3.01365,92.84322
22.7,3.02698,91.94664
22.8,3.04029,94.11208
22.9,3.05357,93.43729
23,3.06692,95.30334
23.1,3.08033,94.11364
23.2,3.09363,95.97891
23.3,3.10691,96.28299
23.4,3.12019,96.21168
23.5,3.13355,97.45388
23.6,3.14693,96.79006
23.7,3.16021,97.34102
23.8,3.17354,98.57931
23.9,3.18689,99.5864
24,3.2003,98.96334
24.1,3.21363,100.14911
24.2,3.22698,99.96885
24.3,3.24031,100.9634
24.4,3.25362,101.53395
24.5,3.26692,102.32474
24.6,3.28028,103.26442
24.7,3.29366,103.1061
24.8,3.30701,103.13432
24.9,3.32032,103.5928
25,3.3336,104.6571
25.1,3.34688,105.03487
25.2,3.36021,105.86482
25.3,3.37354,106.14697
25.4,3.38684,106.45106
25.5,3.40022,107.95423
25.6,3.41363,106.81861
25.7,3.42691,109.12982
25.8,3.44021,108.61571
25.9,3.45354,109.57811
26,3.46695,109.01305
26.1,3.48033,110.83678
26.2,3.49366,109.8195
26.3,3.50694,112.55236
26.4,3.52029,112.15892
26.5,3.53367,112.64562
26.6,3.54698,112.98419
26.7,3.56028,113.91682
26.8,3.57359,113.12605
26.9,3.58694,115.80717
27,3.60025,115.478
27.1,3.61353,116.38163
27.2,3.62686,116.56973
27.3,3.64024,116.60422
27.4,3.65357,117.24216
27.5,3.6669,117.51099
27.6,3.68023,118.06508
27.7,3.69358,118.59487
27.8,3.70696,119.08
27.9,3.72029,119.41074
28,3.73362,120.19838
28.1,3.74695,120.61767
28.2,3.76033,120.84887
28.3,3.77364,121.86459
28.4,3.78694,122.13262
28.5,3.80025,123.23219
28.6,3.8136,122.88421
28.7,3.82691,124.6805
28.8,3.84021,124.27767
28.9,3.85352,126.06457
29,3.86692,125.34119
29.1,3.8803,126.10924
29.2,3.89361,125.81769
29.3,3.90691,127.02306
29.4,3.92027,128.18768
29.5,3.93362,126.78403
29.6,3.94695,128.81624
29.7,3.96023,128.30211
29.8,3.97359,130.37741
29.9,3.98697,129.68616
30,4.00032,131.00047
30.1,4.01363,129.47534
30.2,4.02696,130.93855
30.3,4.04024,130.80453
30.4,4.05357,133.32578
30.5,4.06687,132.52168
30.6,4.08028,133.01543
30.7,4.09363,133.27954
30.8,4.10699,133.65729
30.9,4.12029,133.8407
31,4.1336,135.57117
31.1,4.14693,135.42459
31.2,4.16028,135.95441
31.3,4.17359,136.69972
31.4,4.18689,137.83926
31.5,4.2003,137.28203
31.6,4.21365,138.16371
31.7,4.22693,138.60104
31.8,4.24021,138.40355
31.9,4.25357,139.28445
32,4.26695,140.29466
32.1,4.28028,140.26724
32.2,4.29358,140.92635
32.3,4.30691,141.17949
32.4,4.32027,142.43266
32.5,4.33362,141.71086
32.6,4.34695,143.11374
32.7,4.36026,142.82376
32.8,4.37364,145.20784
32.9,4.38699,144.25954
33,4.40027,146.32152
33.1,4.41358,145.62791
33.2,4.42693,146.76588
33.3,4.44026,146.49472
33.4,4.45357,146.72827
33.5,4.4669,147.05823
33.6,4.4802,147.47516
33.7,4.49361,148.5042
33.8,4.50694,148.41406
33.9,4.52027,149.53871
34,4.53357,149.0959
34.1,4.54693,150.18684
34.2,4.56031,150.96117
34.3,4.57356,151.08109
34.4,4.58692,150.82637
34.5,4.6003,152.23943
34.6,4.61365,152.33818
34.7,4.62693,153.20576
34.8,4.64024,154.10391
34.9,4.65359,153.32802
35,4.66697,153.8876
35.1,4.68028,155.07181
35.2,4.69358,155.38373
35.3,4.70689,155.71133
35.4,4.72022,154.81554
35.5,4.7336,156.6283
35.6,4.74688,156.02483
35.7,4.76021,158.36111
35.8,4.77356,157.5186
35.9,4.78697,158.19809
36,4.8003,157.62128
36.1,4.81365,158.60014
36.2,4.82698,158.12991
36.3,4.84026,160.32434
36.4,4.85359,159.74673
36.5,4.86692,161.02342
36.6,4.8803,161.05869
36.7,4.89368,161.25932
36.8,4.90699,161.26169
36.9,4.92027,162.33302
37,4.93357,162.01485
37.1,4.94688,163.8754
37.2,4.96023,162.95453
37.3,4.97351,163.82289
37.4,4.98689,164.94832
37.5,5.0003,164.70616
37.6,5.0136,165.56433
37.7,5.02691,165.06981
37.8,5.04024,165.69052
37.9,5.05364,165.94365
38,5.067,166.77597
38.1,5.08033,166.76028
38.2,5.09363,168.42885
38.3,5.10694,167.44762
38.4,5.12032,167.98134
38.5,5.13365,168.17648
38.6,5.14693,169.20238
38.7,5.16023,169.53705
38.8,5.17361,169.39204
38.9,5.18692,170.37328
39,5.20022,170.09113
39.1,5.21355,170.48065
39.2,5.22693,170.43205
39.3,5.24024,171.74243
39.4,5.25357,171.22754
39.5,5.26692,171.20715
39.6,5.28028,172.55046
39.7,5.29366,172.51912
39.8,5.30696,173.64375
39.9,5.32029,173.93922
40,5.33362,174.01524
40.1,5.34703,173.29892
40.2,5.36028,174.48784
40.3,5.37359,174.39456
40.4,5.38692,175.27156
40.5,5.40027,174.7739
40.6,5.4136,176.58978
40.7,5.42688,176.19165
40.8,5.44021,176.31627
40.9,5.45359,175.80763
41,5.46697,177.1909
41.1,5.4803,176.4393
41.2,5.49358,178.25912
41.3,5.50691,177.67525
41.4,5.52029,178.36414
41.5,5.53362,179.26933
41.6,5.54688,179.13219
41.7,5.56023,180.00291
41.8,5.57361,179.58675
41.9,5.58699,179.52249
42,5.60027,180.1769
42.1,5.61363,180.33443
42.2,5.62691,180.23097
42.3,5.64021,181.31721
42.4,5.65354,181.11736
42.5,5.66692,181.5304
42.6,5.6803,181.78822
42.7,5.69366,181.59543
42.8,5.70696,182.29295
42.9,5.72027,182.48654
43,5.73362,184.17546
43.1,5.74695,183.80241
43.2,5.76023,184.58144
43.3,5.77354,184.23738
43.4,5.78694,184.15508
43.5,5.80035,184.99759
43.6,5.81358,184.81891
43.7,5.82688,184.6935
43.8,5.84021,184.60652
43.9,5.85362,185.78131
44,5.86697,185.77818
44.1,5.88028,186.59874
44.2,5.89358,185.70529
44.3,5.90694,187.08466
44.4,5.92029,186.08463
44.5,5.93362,186.79076
44.6,5.94693,187.87073
44.7,5.96031,187.63326
44.8,5.97366,187.96007
44.9,5.98694,188.60272
45,6.00025,188.15443
45.1,6.01358,188.61761
45.2,6.02693,188.61919
45.3,6.04024,188.96794
45.4,6.05354,189.60825
45.5,6.06685,190.32927
45.6,6.08025,190.11375
45.7,6.09358,190.21014
45.8,6.10691,190.43115
45.9,6.12024,190.22112
46,6.13362,189.60355
46.1,6.147,190.7368
46.2,6.16028,190.66785
46.3,6.17361,191.00484
46.4,6.18697,191.59578
46.5,6.20032,192.94299
46.6,6.2136,192.31837
46.7,6.22691,192.66086
46.8,6.24024,192.44455
46.9,6.25364,193.35838
47,6.26697,192.82701
47.1,6.28025,193.83879
47.2,6.29353,192.83798
