General : Start date,11/21/2024 10:04,
General : End date,11/21/2024 10:05,
Specimen Notes:,"Green, 215, Print 9, Object 1, Seq 40",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.68176
0.1,0.00789,-0.08707
0.2,0.02265,0.74289
0.3,0.0376,0.24052
0.4,0.05198,0.79618
0.5,0.06599,0.06967
0.6,0.07975,-0.01027
0.7,0.09328,0.63787
0.8,0.10677,1.14338
0.9,0.1202,0.1551
1,0.13368,-1.35201
1.1,0.14698,0.84713
1.2,0.16029,1.80327
1.3,0.17359,0.80167
1.4,0.18682,0.06105
1.5,0.20018,0.54696
1.6,0.21351,0.76013
1.7,0.22686,-0.31044
1.8,0.24024,-1.44449
1.9,0.25365,0.05948
2,0.26693,0.5164
2.1,0.28018,0.41216
2.2,0.29359,-0.21874
2.3,0.30697,1.3542
2.4,0.3203,0.68333
2.5,0.33363,0.59947
2.6,0.34696,0.84556
2.7,0.36034,-0.25009
2.8,0.37369,-0.60198
2.9,0.387,-0.68192
3,0.4003,-1.10122
3.1,0.41363,0.39805
3.2,0.42694,0.78913
3.3,0.44022,-0.03456
3.4,0.4535,-0.10667
3.5,0.46685,1.11908
3.6,0.48023,1.02425
3.7,0.49354,-1.03617
3.8,0.50692,-1.33555
3.9,0.52027,0.56577
4,0.5336,-0.37784
4.1,0.54691,-0.0808
4.2,0.56026,0.06497
4.3,0.57359,0.41451
4.4,0.58697,0.30244
4.5,0.6003,1.25623
4.6,0.61363,1.96786
4.7,0.62694,1.0987
4.8,0.64027,0.55245
4.9,0.65362,1.5564
5,0.66688,1.48978
5.1,0.68021,1.71706
5.2,0.69359,1.46627
5.3,0.70694,2.55565
5.4,0.72022,2.98826
5.5,0.73358,3.03842
5.6,0.74691,3.31586
5.7,0.76031,3.13717
5.8,0.77362,3.89895
5.9,0.78695,4.97893
6,0.80025,5.93507
6.1,0.81363,6.80109
6.2,0.82699,6.9884
6.3,0.84032,6.08398
6.4,0.85362,6.94059
6.5,0.86693,8.34973
6.6,0.88028,7.65614
6.7,0.89359,7.22508
6.8,0.90692,9.14443
6.9,0.9203,9.92189
7,0.93365,11.06064
7.1,0.94696,10.21892
7.2,0.96024,11.22992
7.3,0.97352,12.32557
7.4,0.98685,12.03559
7.5,1.0002,12.63749
7.6,1.01358,13.65242
7.7,1.02696,14.55919
7.8,1.04039,15.30295
7.9,1.05367,14.73553
8,1.0669,14.88757
8.1,1.08023,16.54671
8.2,1.09361,16.00516
8.3,1.10697,17.67607
8.4,1.12027,17.73798
8.5,1.1336,17.22464
8.6,1.14693,18.38377
8.7,1.16029,19.47471
8.8,1.17364,20.44418
8.9,1.18692,20.83761
9,1.20028,20.34543
9.1,1.21363,21.39171
9.2,1.22694,22.90978
9.3,1.24022,22.84944
9.4,1.25357,22.72247
9.5,1.26695,23.03283
9.6,1.28026,25.02898
9.7,1.29351,25.50078
9.8,1.30692,25.08697
9.9,1.32032,24.63163
10,1.33358,26.75788
10.1,1.34693,27.21714
10.2,1.36024,26.96478
10.3,1.37357,27.89741
10.4,1.38695,29.01893
10.5,1.40025,29.14824
10.6,1.41361,30.3011
10.7,1.42694,30.67102
10.8,1.44032,29.70076
10.9,1.45357,30.33637
11,1.46688,31.01429
11.1,1.48031,32.19615
11.2,1.49371,31.8419
11.3,1.50697,31.86307
11.4,1.52027,32.13267
11.5,1.53358,34.51676
11.6,1.54691,34.94546
11.7,1.56026,34.41644
11.8,1.57354,34.17113
11.9,1.58687,34.83182
12,1.60017,36.06697
12.1,1.61361,36.24331
12.2,1.62694,38.73242
12.3,1.64027,38.70499
12.4,1.6536,37.3413
12.5,1.66695,38.9887
12.6,1.68028,39.64546
12.7,1.69364,38.67756
12.8,1.70704,40.0624
12.9,1.7204,41.38768
13,1.73368,42.20746
13.1,1.74693,41.85478
13.2,1.76024,41.34457
13.3,1.77354,43.03664
13.4,1.78687,43.52725
13.5,1.80023,43.90109
13.6,1.81358,44.06411
13.7,1.82694,45.18953
13.8,1.84029,47.04539
13.9,1.85357,47.60419
14,1.86682,47.49134
14.1,1.88028,47.8205
14.2,1.89364,47.05558
14.3,1.90697,47.78131
14.4,1.92027,49.42009
14.5,1.93365,50.08155
14.6,1.94701,50.91152
14.7,1.96036,50.46009
14.8,1.97367,52.70938
14.9,1.98695,52.7611
15,2.00028,52.0487
15.1,2.01358,51.90057
15.2,2.02688,52.68822
15.3,2.04014,53.87008
15.4,2.05352,53.98764
15.5,2.06682,54.43122
15.6,2.08023,54.79331
15.7,2.09361,55.75572
15.8,2.10697,56.09116
15.9,2.12032,56.41875
16,2.1336,57.1484
16.1,2.14693,58.52776
16.2,2.16026,59.25349
16.3,2.17367,59.93533
16.4,2.18697,60.66106
16.5,2.2003,60.10932
16.6,2.21358,60.42046
16.7,2.22691,61.95421
16.8,2.24027,62.55846
16.9,2.25354,61.79668
17,2.26687,61.96753
17.1,2.28025,63.10158
17.2,2.29361,64.02716
17.3,2.30686,64.2615
17.4,2.32019,65.01152
17.5,2.33355,65.25683
17.6,2.34695,65.61342
17.7,2.36026,66.3995
17.8,2.37356,67.07429
17.9,2.38689,67.68794
18,2.40033,68.57042
18.1,2.41373,69.41998
18.2,2.42704,70.62064
18.3,2.44032,70.47252
18.4,2.45359,70.77504
18.5,2.46692,71.77037
18.6,2.4803,72.45142
18.7,2.49366,72.47259
18.8,2.50696,73.26494
18.9,2.52032,73.81668
19,2.5336,74.70072
19.1,2.5469,74.05022
19.2,2.56021,75.15215
19.3,2.57354,75.94684
19.4,2.58689,76.53777
19.5,2.60027,76.46253
19.6,2.61366,76.34106
19.7,2.62701,78.0198
19.8,2.64026,78.60759
19.9,2.65352,77.90694
20,2.66687,79.08802
20.1,2.68025,80.11783
20.2,2.69358,79.22047
20.3,2.70694,81.48544
20.4,2.72027,82.28796
20.5,2.73362,81.23229
20.6,2.74698,81.97369
20.7,2.76036,83.2496
20.8,2.77361,83.92046
20.9,2.78697,83.8131
21,2.8003,84.94479
21.1,2.81358,85.03806
21.2,2.82688,86.64
21.3,2.84021,86.76069
21.4,2.85359,88.046
21.5,2.86685,88.37908
21.6,2.88015,89.13459
21.7,2.89353,89.24824
21.8,2.90694,89.80076
21.9,2.92027,90.02099
22,2.93357,90.75848
22.1,2.9469,91.88469
22.2,2.96026,92.16291
22.3,2.97364,91.95365
22.4,2.98697,92.29536
22.5,3.00035,93.56186
22.6,3.01363,93.65356
22.7,3.02698,93.53051
22.8,3.04029,94.85658
22.9,3.05357,95.60973
23,3.06692,96.37308
23.1,3.0803,97.24223
23.2,3.09358,96.23671
23.3,3.10686,97.59256
23.4,3.12019,98.09727
23.5,3.13355,97.79476
23.6,3.1469,98.6114
23.7,3.16021,101.08171
23.8,3.17354,100.5284
23.9,3.18687,100.68357
24,3.20032,100.67809
24.1,3.21368,102.29726
24.2,3.22698,101.14285
24.3,3.24031,103.17503
24.4,3.25364,104.0818
24.5,3.267,104.10297
24.6,3.28035,103.56455
24.7,3.29368,104.86083
24.8,3.30704,106.26057
24.9,3.32032,104.9635
25,3.33362,105.43766
25.1,3.34688,107.03959
25.2,3.36016,108.10938
25.3,3.37351,107.89384
25.4,3.38687,107.34837
25.5,3.40025,109.45346
25.6,3.4136,109.80614
25.7,3.42691,109.08982
25.8,3.44021,109.89627
25.9,3.45349,111.354
26,3.46692,112.66831
26.1,3.4803,112.66283
26.2,3.49363,113.49121
26.3,3.50696,113.27491
26.4,3.52034,113.61504
26.5,3.53367,114.48185
26.6,3.54703,115.72797
26.7,3.56033,115.01164
26.8,3.57359,116.48113
26.9,3.58697,116.98978
27,3.60025,117.74685
27.1,3.61355,117.00152
27.2,3.62683,118.31505
27.3,3.64019,118.63795
27.4,3.65354,119.64346
27.5,3.66682,120.45932
27.6,3.68018,119.98516
27.7,3.69361,122.09183
27.8,3.70701,121.09335
27.9,3.72024,121.07925
28,3.7336,121.84181
28.1,3.74693,122.4876
28.2,3.76033,122.11926
28.3,3.77366,123.79408
28.4,3.78699,124.34581
28.5,3.8003,125.09036
