General : Start date,"10/29/2024 10:50 AM"
General : End date,"10/29/2024 10:51 AM"
Specimen notes : Specimen note 1,"Day 2, blue, 230, batch 2, seq 43"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.07471"
"0.10000","0.00111","0.52602"
"0.20000","0.00806","7.68195"
"0.30000","0.02228","32.94670"
"0.40000","0.03165","51.94796"
"0.50000","0.04002","64.88788"
"0.60000","0.04929","79.97307"
"0.70000","0.05806","94.80833"
"0.80000","0.06642","109.39129"
"0.90000","0.07489","123.47514"
"1.00000","0.08305","136.53885"
"1.10000","0.09152","149.69110"
"1.20000","0.09999","163.95750"
"1.30000","0.10855","177.26491"
"1.40000","0.11702","191.66530"
"1.50000","0.12519","204.46181"
"1.60000","0.13355","218.46420"
"1.70000","0.14182","231.24896"
"1.80000","0.14988","244.20142"
"1.90000","0.15815","257.05750"
"2.00000","0.16671","271.18289"
"2.10000","0.17538","284.64148"
"2.20000","0.18365","298.07111"
"2.30000","0.19181","311.20453"
"2.40000","0.19987","323.95953"
"2.50000","0.20814","336.34549"
"2.60000","0.21671","349.06366"
"2.70000","0.22527","363.15848"
"2.80000","0.23364","375.73563"
"2.90000","0.24211","388.90588"
"3.00000","0.25007","401.44073"
"3.10000","0.25813","413.93008"
"3.20000","0.26650","426.13739"
"3.30000","0.27497","438.78973"
"3.40000","0.28333","451.69125"
"3.50000","0.29170","463.91818"
"3.60000","0.30006","476.74213"
"3.70000","0.30823","488.27090"
"3.80000","0.31649","499.88666"
"3.90000","0.32486","512.97546"
"4.00000","0.33343","525.75085"
"4.10000","0.34179","538.09058"
"4.20000","0.34996","550.68494"
"4.30000","0.35842","561.66760"
"4.40000","0.36689","574.38031"
"4.50000","0.37485","585.63794"
"4.60000","0.38322","597.90405"
"4.70000","0.39199","610.56891"
"4.80000","0.40045","622.87183"
"4.90000","0.40872","633.32019"
"5.00000","0.41698","645.19916"
"5.10000","0.42505","656.99353"
"5.20000","0.43311","666.90826"
"5.30000","0.44158","679.09680"
"5.40000","0.45025","690.18994"
"5.50000","0.45861","701.62231"
"5.60000","0.46698","712.41541"
"5.70000","0.47504","723.34009"
"5.80000","0.48331","733.88165"
"5.90000","0.49137","744.50391"
"6.00000","0.49973","756.35468"
"6.10000","0.50840","768.22980"
"6.20000","0.51677","778.90924"
"6.30000","0.52524","790.02979"
"6.40000","0.53340","800.53601"
"6.50000","0.54156","810.59106"
"6.60000","0.54973","820.85675"
"6.70000","0.55820","831.89343"
"6.80000","0.56686","842.53455"
"6.90000","0.57533","852.42102"
"7.00000","0.58349","863.18591"
"7.10000","0.59176","873.44067"
"7.20000","0.59982","882.80066"
"7.30000","0.60819","893.25293"
"7.40000","0.61666","903.76624"
"7.50000","0.62522","915.80981"
"7.60000","0.63369","925.57959"
"7.70000","0.64206","935.49585"
"7.80000","0.64992","944.48755"
"7.90000","0.65808","953.97766"
"8.00000","0.66675","964.29425"
"8.10000","0.67512","974.01233"
"8.20000","0.68318","983.29865"
"8.30000","0.69185","992.03735"
"8.40000","0.70031","1000.51978"
"8.50000","0.70828","1009.52246"
"8.60000","0.71634","1017.20496"
"8.70000","0.72471","1026.96216"
"8.80000","0.73348","1035.91553"
"8.90000","0.74174","1043.90430"
"9.00000","0.75011","1052.43372"
"9.10000","0.75827","1061.24060"
"9.20000","0.76623","1069.04919"
"9.30000","0.77430","1078.11060"
"9.40000","0.78307","1086.63855"
"9.50000","0.79194","1096.74756"
"9.60000","0.80020","1105.37732"
"9.70000","0.80816","1113.69287"
"9.80000","0.81673","1122.41187"
"9.90000","0.82530","1131.50464"
"10.00000","0.83336","1140.08118"
"10.10000","0.84183","1148.67175"
"10.20000","0.85040","1157.47620"
"10.30000","0.85866","1166.03772"
"10.40000","0.86703","1174.10425"
"10.50000","0.87499","1182.65161"
"10.60000","0.88315","1190.76501"
"10.70000","0.89162","1199.53503"
"10.80000","0.89999","1208.33167"
"10.90000","0.90845","1216.59314"
"11.00000","0.91702","1225.16565"
"11.10000","0.92518","1233.31433"
"11.20000","0.93335","1242.05542"
"11.30000","0.94141","1250.48450"
"11.40000","0.94978","1258.68726"
"11.50000","0.95855","1267.40320"
"11.60000","0.96701","1276.15820"
"11.70000","0.97528","1284.64612"
"11.80000","0.98334","1293.18115"
"11.90000","0.99131","1301.92297"
"12.00000","0.99977","1310.26355"
"12.10000","1.00824","1318.98889"
"12.20000","1.01691","1327.11328"
"12.30000","1.02527","1335.06055"
"12.40000","1.03364","1343.14014"
"12.50000","1.04170","1351.19092"
"12.60000","1.04987","1358.84998"
"12.70000","1.05813","1367.32605"
"12.80000","1.06660","1375.39014"
"12.90000","1.07496","1384.29175"
"13.00000","1.08343","1393.22156"
"13.10000","1.09210","1401.59900"
"13.20000","1.10026","1409.72729"
"13.30000","1.10823","1418.21680"
"13.40000","1.11659","1425.46277"
"13.50000","1.12516","1434.71082"
"13.60000","1.13373","1442.85474"
"13.70000","1.14189","1450.13367"
"13.80000","1.15026","1458.95459"
"13.90000","1.15842","1467.17212"
"14.00000","1.16638","1474.66821"
"14.10000","1.17485","1482.76514"
"14.20000","1.18342","1490.35120"
"14.30000","1.19188","1498.15198"
"14.40000","1.20005","1505.07910"
"14.50000","1.20821","1513.88513"
"14.60000","1.21638","1521.20093"
"14.70000","1.22454","1528.48462"
"14.80000","1.23291","1535.60291"
"14.90000","1.24158","1544.32202"
"15.00000","1.25004","1552.40479"
"15.10000","1.25851","1560.38025"
"15.20000","1.26688","1567.29016"
"15.30000","1.27494","1575.89490"
"15.40000","1.28330","1582.36292"
"15.50000","1.29157","1589.77173"
"15.60000","1.30004","1598.70874"
"15.70000","1.30850","1606.09497"
"15.80000","1.31697","1613.08167"
"15.90000","1.32534","1620.76807"
"16.00000","1.33330","1627.82056"
"16.10000","1.34146","1635.87512"
"16.20000","1.35003","1643.69080"
"16.30000","1.35870","1652.35193"
"16.40000","1.36727","1659.58386"
"16.50000","1.37543","1667.05786"
"16.60000","1.38339","1674.57422"
"16.70000","1.39156","1682.00671"
"16.80000","1.39992","1690.27148"
"16.90000","1.40829","1697.65222"
"17.00000","1.41686","1705.40051"
"17.10000","1.42512","1712.77820"
"17.20000","1.43339","1720.61804"
"17.30000","1.44155","1727.99097"
"17.40000","1.44961","1734.34387"
"17.50000","1.45808","1741.72632"
"17.60000","1.46665","1749.31628"
"17.70000","1.47481","1756.34363"
"17.80000","1.48338","1764.25012"
"17.90000","1.49205","1772.02429"
"18.00000","1.50021","1778.86938"
"18.10000","1.50807","1785.84351"
"18.20000","1.51644","1793.73340"
"18.30000","1.52501","1802.22546"
"18.40000","1.53358","1809.29968"
"18.50000","1.54194","1817.32239"
"18.60000","1.55021","1825.31885"
"18.70000","1.55837","1832.92700"
"18.80000","1.56653","1840.61633"
"18.90000","1.57490","1848.56372"
"19.00000","1.58367","1856.28308"
"19.10000","1.59204","1863.81824"
"19.20000","1.60020","1871.45996"
"19.30000","1.60846","1878.33997"
"19.40000","1.61683","1886.56152"
"19.50000","1.62489","1893.79358"
"19.60000","1.63326","1901.17505"
"19.70000","1.64173","1908.43042"
"19.80000","1.65019","1916.57690"
"19.90000","1.65856","1923.96301"
"20.00000","1.66672","1931.57666"
"20.10000","1.67479","1938.03442"
"20.20000","1.68315","1945.69580"
"20.30000","1.69152","1954.37646"
"20.40000","1.69999","1961.52539"
"20.50000","1.70865","1970.05017"
"20.60000","1.71702","1977.95886"
"20.70000","1.72518","1984.61511"
"20.80000","1.73305","1991.28906"
"20.90000","1.74121","1999.18152"
"21.00000","1.75008","2007.58167"
"21.10000","1.75875","2014.92407"
"21.20000","1.76701","2022.87598"
"21.30000","1.77518","2029.28052"
"21.40000","1.78324","2036.67542"
"21.50000","1.79151","2044.18787"
"21.60000","1.79977","2051.29468"
"21.70000","1.80844","2059.72754"
"21.80000","1.81701","2067.89355"
"21.90000","1.82547","2075.86353"
"22.00000","1.83354","2082.81641"
"22.10000","1.84170","2090.09473"
"22.20000","1.84987","2098.51123"
"22.30000","1.85823","2105.91626"
"22.40000","1.86660","2114.25464"
"22.50000","1.87506","2121.26025"
"22.60000","1.88373","2128.28442"
"22.70000","1.89200","2137.10547"
"22.80000","1.89986","2144.18457"
"22.90000","1.90792","2151.15869"
"23.00000","1.91659","2158.56128"
"23.10000","1.92526","2168.01611"
"23.20000","1.93352","2174.61743"
"23.30000","1.94199","2182.87402"
"23.40000","1.95016","2189.28174"
"23.50000","1.95792","2197.17041"
"23.60000","1.96628","2205.19922"
"23.70000","1.97495","2212.68579"
"23.80000","1.98362","2219.28760"
"23.90000","1.99198","2227.53589"
"24.00000","2.00005","2235.39771"
"24.10000","2.00841","2243.17822"
"24.20000","2.01668","2250.27222"
"24.30000","2.02504","2257.77686"
"24.40000","2.03361","2265.57056"
"24.50000","2.04208","2273.23022"
"24.60000","2.05034","2281.51831"
"24.70000","2.05851","2288.97754"
"24.80000","2.06647","2295.65454"
"24.90000","2.07474","2302.90625"
"25.00000","2.08310","2310.83325"
"25.10000","2.09177","2318.15210"
"25.20000","2.10024","2325.83521"
"25.30000","2.10860","2332.41626"
"25.40000","2.11687","2340.56104"
"25.50000","2.12483","2347.83984"
"25.60000","2.13299","2355.54810"
"25.70000","2.14136","2362.41113"
"25.80000","2.15003","2369.94067"
"25.90000","2.15850","2379.05225"
"26.00000","2.16696","2385.53516"
"26.10000","2.17493","2392.97168"
"26.20000","2.18319","2400.34937"
"26.30000","2.19156","2407.77148"
"26.40000","2.20002","2415.73608"
"26.50000","2.20869","2423.34961"
"26.60000","2.21686","2431.27490"
"26.70000","2.22532","2438.21558"
"26.80000","2.23359","2446.23022"
"26.90000","2.24155","2452.92773"
