General : Start date,"10/22/2024 9:38 AM"
General : End date,"10/22/2024 9:39 AM"
Specimen notes : Specimen note 1,"green, 200, batch 6, seq 10"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
"17.50000","1.45838","2185.03931"
"17.60000","1.46655","2196.04321"
"17.70000","1.47491","2206.09741"
"17.80000","1.48318","2216.74170"
"17.90000","1.49144","2226.29980"
"18.00000","1.50011","2237.84595"
"18.10000","1.50868","2249.34863"
"18.20000","1.51674","2259.25024"
"18.30000","1.52460","2269.01685"
"18.40000","1.53307","2279.60059"
"18.50000","1.54194","2291.18042"
"18.60000","1.55021","2302.35596"
"18.70000","1.55827","2312.12866"
"18.80000","1.56674","2322.62793"
"18.90000","1.57510","2333.08105"
"19.00000","1.58306","2342.21606"
"19.10000","1.59143","2352.12231"
"19.20000","1.60030","2363.23486"
"19.30000","1.60857","2374.51074"
"19.40000","1.61653","2384.86572"
"19.50000","1.62479","2394.27954"
"19.60000","1.63326","2404.90649"
"19.70000","1.64153","2414.05273"
"19.80000","1.64999","2424.84741"
"19.90000","1.65846","2435.06055"
"20.00000","1.66672","2445.37109"
"20.10000","1.67509","2455.16187"
"20.20000","1.68325","2460.60815"
"20.30000","1.69142","2470.89746"
"20.40000","1.69968","2479.95654"
"20.50000","1.70805","2490.62109"
"20.60000","1.71672","2502.18750"
"20.70000","1.72518","2512.15625"
"20.80000","1.73335","2522.28638"
"20.90000","1.74161","2530.89502"
"21.00000","1.74968","2540.68213"
"21.10000","1.75794","2550.19336"
"21.20000","1.76661","2560.68384"
"21.30000","1.77518","2571.31714"
"21.40000","1.78364","2581.23120"
"21.50000","1.79171","2591.22412"
"21.60000","1.79987","2600.25366"
"21.70000","1.80814","2609.61426"
"21.80000","1.81640","2618.80957"
"21.90000","1.82487","2629.60205"
"22.00000","1.83334","2639.94214"
"22.10000","1.84180","2651.15601"
"22.20000","1.85027","2659.06104"
"22.30000","1.85823","2667.93286"
"22.40000","1.86650","2676.94482"
"22.50000","1.87506","2687.11890"
"22.60000","1.88343","2696.95361"
"22.70000","1.89180","2706.51831"
"22.80000","1.90026","2716.18848"
"22.90000","1.90863","2724.49390"
"23.00000","1.91659","2734.40918"
"23.10000","1.92455","2743.54614"
"23.20000","1.93312","2753.59082"
"23.30000","1.94169","2763.49683"
"23.40000","1.94985","2772.39697"
"23.50000","1.95822","2781.69897"
"23.60000","1.96658","2789.40332"
"23.70000","1.97475","2798.77734"
"23.80000","1.98281","2807.75049"
"23.90000","1.99138","2817.39648"
"24.00000","2.00015","2828.41040"
"24.10000","2.00831","2837.13013"
"24.20000","2.01648","2846.28174"
"24.30000","2.02494","2855.75854"
"24.40000","2.03341","2859.88232"
"24.50000","2.04157","2868.59888"
"24.60000","2.05014","2877.68774"
"24.70000","2.05851","2886.61523"
"24.80000","2.06687","2896.22681"
"24.90000","2.07514","2904.29565"
"25.00000","2.08310","2913.83740"
"25.10000","2.09157","2921.97827"
"25.20000","2.09973","2932.24219"
"25.30000","2.10820","2941.81543"
"25.40000","2.11677","2949.62646"
"25.50000","2.12523","2957.74756"
"25.60000","2.13350","2965.24194"
"25.70000","2.14156","2974.28638"
"25.80000","2.14963","2982.61279"
"25.90000","2.15809","2992.16943"
"26.00000","2.16676","3001.74634"
"26.10000","2.17513","3010.40991"
"26.20000","2.18349","3018.99023"
"26.30000","2.19146","3026.32397"
"26.40000","2.19952","3035.15894"
"26.50000","2.20778","3043.97607"
"26.60000","2.21645","3052.51245"
"26.70000","2.22492","3060.54907"
"26.80000","2.23349","3070.05713"
"26.90000","2.24205","3078.38696"
"27.00000","2.25012","3086.93604"
"27.10000","2.25798","3094.66772"
"27.20000","2.26645","3103.93994"
"27.30000","2.27491","3113.22705"
"27.40000","2.28328","3121.83472"
"27.50000","2.29185","3129.19922"
"27.60000","2.30031","3137.92041"
"27.70000","2.30848","3146.21094"
"27.80000","2.31634","3153.34351"
"27.90000","2.32460","3161.13159"
"28.00000","2.33347","3170.44214"
"28.10000","2.34194","3178.43750"
"28.20000","2.35010","3186.33618"
"28.30000","2.35847","3194.87329"
"28.40000","2.36643","3121.89282"
"28.50000","2.37470","3109.18091"
"28.60000","2.38306","3119.12793"
"28.70000","2.39173","3129.28369"
"28.80000","2.40020","3138.84131"
"28.90000","2.40816","3148.07666"
"29.00000","2.41643","3157.64111"
"29.10000","2.42469","3167.90894"
"29.20000","2.43306","3176.33032"
"29.30000","2.44142","3185.25586"
"29.40000","2.44999","3195.23413"
"29.50000","2.45836","3203.30176"
"29.60000","2.46682","3213.43921"
"29.70000","2.47499","3222.15259"
"29.80000","2.48305","3229.78857"
"29.90000","2.49132","3238.27832"
"30.00000","2.49998","3247.23804"
"30.10000","2.50875","3255.76880"
"30.20000","2.51722","3235.22437"
"30.30000","2.52538","3246.74658"
"30.40000","2.53345","3253.20215"
"30.50000","2.54121","3260.80127"
"30.60000","2.54968","3268.95068"
"30.70000","2.55824","3278.59790"
"30.80000","2.56691","3287.55566"
"30.90000","2.57528","3293.00342"
"31.00000","2.58334","3301.18506"
"31.10000","2.59151","3309.26953"
"31.20000","2.59977","3316.73242"
"31.30000","2.60834","3324.30005"
"31.40000","2.61670","3332.72217"
"31.50000","2.62507","3339.75244"
"31.60000","2.63344","3348.11987"
"31.70000","2.64160","3356.70190"
"31.80000","2.64976","3363.18799"
"31.90000","2.65783","3369.81201"
"32.00000","2.66629","3377.39062"
"32.10000","2.67486","3385.37329"
"32.20000","2.68333","3392.92578"
"32.30000","2.69179","3400.34106"
"32.40000","2.70026","3406.91479"
"32.50000","2.70822","3414.00171"
"32.60000","2.71619","3419.65479"
"32.70000","2.72475","3428.27002"
"32.80000","2.73352","3433.65039"
"32.90000","2.74179","3439.44849"
"33.00000","2.74995","3446.75708"
"33.10000","2.75822","3450.14331"
"33.20000","2.76648","3452.99609"
"33.30000","2.77475","3456.62231"
"33.40000","2.78332","3462.72778"
"33.50000","2.79198","3470.03003"
"33.60000","2.80025","3475.57812"
"33.70000","2.80821","3481.11328"
"33.80000","2.81668","3486.78491"
"33.90000","2.82504","3491.76343"
"34.00000","2.83321","3496.57910"
"34.10000","2.84147","3501.35596"
"34.20000","2.85004","3505.99219"
"34.30000","2.85861","3510.78735"
"34.40000","2.86677","3514.03198"
"34.50000","2.87484","3518.47290"
"34.60000","2.88300","3521.97632"
"34.70000","2.89116","3525.54370"
"34.80000","2.89983","3529.69312"
"34.90000","2.90840","3533.21436"
"35.00000","2.91687","3535.79810"
"35.10000","2.92523","3537.10059"
"35.20000","2.93330","3538.30566"
"35.30000","2.94136","3539.15576"
"35.40000","2.94973","3538.68872"
"35.50000","2.95860","3538.65576"
"35.60000","2.96716","3535.16748"
"35.70000","2.97543","3529.83398"
"35.80000","2.98339","3520.23828"
"35.90000","2.99145","3505.10767"
"36.00000","2.99962","3484.43359"
"36.10000","3.00809","3449.58008"
"36.20000","3.01675","3391.94531"
"36.30000","3.02522","3318.83569"
"36.40000","3.03359","3252.78296"
"36.50000","3.04185","3191.34521"
"36.60000","3.05002","3122.68579"
"36.66200","3.05495","2832.67993"
"36.66600","3.05536","2566.82129"
"36.67000","3.05576","2247.12500"
"36.67400","3.05616","1901.24219"
"36.67600","3.05637","1729.42688"
